,locus_tag,old_locus_tag,name,description,type,length
lcl|NC_002947.4_gene_1700,PP_RS08430,PP_1636,,diacylglycerol kinase,CDS,366
lcl|NC_002947.4_gene_1701,PP_RS08435,PP_1637,finR,LysR family transcriptional regulator FinR,CDS,927
lcl|NC_002947.4_gene_1702,PP_RS08440,PP_1638,fpr,ferredoxin-NADP reductase,CDS,780
lcl|NC_002947.4_gene_1703,PP_RS08445,PP_1639,,SprT family zinc-dependent metalloprotease,CDS,495
lcl|NC_002947.4_gene_1704,PP_RS08450,PP_1640,,Yip1 family protein,CDS,600
lcl|NC_002947.4_gene_1705,PP_RS08455,PP_1641,ttcA,tRNA 2-thiocytidine(32) synthetase TtcA,CDS,825
lcl|NC_002947.4_gene_1706,PP_RS08460,PP_1642,,DNA-3-methyladenine glycosylase I,CDS,672
lcl|NC_002947.4_gene_1707,PP_RS08465,PP_1643,,DUF2069 domain-containing protein,CDS,414
lcl|NC_002947.4_gene_1708,PP_RS08470,PP_1644,wrbA,NAD(P)H:quinone oxidoreductase,CDS,606
lcl|NC_002947.4_gene_1709,PP_RS08475,PP_1645,arsC,arsenate reductase (glutaredoxin),CDS,354
lcl|NC_002947.4_gene_1710,PP_RS08480,PP_1646,,peroxiredoxin family protein,CDS,465
lcl|NC_002947.4_gene_1711,PP_RS08485,PP_1647,,META domain-containing protein,CDS,405
lcl|NC_002947.4_gene_1712,PP_RS08490,PP_1648,,hypothetical protein,CDS,438
lcl|NC_002947.4_gene_1713,PP_RS08495,PP_1649,,2-hydroxyacid dehydrogenase,CDS,990
lcl|NC_002947.4_gene_1714,PP_RS08500,PP_1650,,response regulator,CDS,2754
lcl|NC_002947.4_gene_1715,PP_RS08505,PP_1651,,response regulator transcription factor,CDS,720
lcl|NC_002947.4_gene_1716,PP_RS08510,PP_1652,,cell wall metabolism sensor histidine kinase WalK,CDS,1377
lcl|NC_002947.4_gene_1717,PP_RS08515,PP_1653,,IS110-like element ISPpu10 family transposase,CDS,966
lcl|NC_002947.4_gene_1718,PP_RS08520,PP_1654,cysM,cysteine synthase CysM,CDS,900
lcl|NC_002947.4_gene_1719,PP_RS08525,PP_1655,rlmD,23S rRNA (uracil(1939)-C(5))-methyltransferase RlmD,CDS,1359
lcl|NC_002947.4_gene_1720,PP_RS08530,PP_1656,relA,GTP diphosphokinase,CDS,2241
lcl|NC_002947.4_gene_1721,PP_RS08535,PP_1657,mazG,nucleoside triphosphate pyrophosphohydrolase,CDS,834
lcl|NC_002947.4_gene_1722,PP_RS08540,PP_1658,,DUF2058 domain-containing protein,CDS,540
lcl|NC_002947.4_gene_1723,PP_RS08545,PP_1659,,hypothetical protein,CDS,1341
lcl|NC_002947.4_gene_1724,PP_RS08550,PP_1660,,sorbitol dehydrogenase,CDS,492
lcl|NC_002947.4_gene_1725,PP_RS08555,PP_1661,,GMC oxidoreductase,CDS,2259
lcl|NC_002947.4_gene_1726,PP_RS08560,PP_1662,,hypothetical protein,CDS,183
lcl|NC_002947.4_gene_1727,PP_RS08565,PP_1663,,DUF3108 domain-containing protein,CDS,711
lcl|NC_002947.4_gene_1728,PP_RS08570,PP_1664,purN,phosphoribosylglycinamide formyltransferase,CDS,654
lcl|NC_002947.4_gene_1729,PP_RS08575,PP_1665,purM,phosphoribosylformylglycinamidine cyclo-ligase,CDS,1059
lcl|NC_002947.4_gene_1730,PP_RS08580,PP_1666,,DUF2066 domain-containing protein,CDS,1068
lcl|NC_002947.4_gene_1731,PP_RS08585,PP_1667,,AI-2E family transporter,CDS,1074
lcl|NC_002947.4_gene_1732,PP_RS08590,PP_1668,hda,DnaA regulatory inactivator Hda,CDS,708
lcl|NC_002947.4_gene_1733,PP_RS08595,PP_1669,,C40 family peptidase,CDS,639
lcl|NC_002947.4_gene_1734,PP_RS08600,PP_1670,,C40 family peptidase,CDS,534
lcl|NC_002947.4_gene_1735,PP_RS08605,PP_1672,cobO,"cob(I)yrinic acid a,c-diamide adenosyltransferase",CDS,612
lcl|NC_002947.4_gene_1736,PP_RS08610,PP_1673,,"cobyrinate a,c-diamide synthase",CDS,1296
lcl|NC_002947.4_gene_1737,PP_RS08615,PP_1674,bluB,"5,6-dimethylbenzimidazole synthase",CDS,651
lcl|NC_002947.4_gene_1738,PP_RS08620,PP_1675,cbiB,adenosylcobinamide-phosphate synthase CbiB,CDS,909
lcl|NC_002947.4_gene_1739,PP_RS08625,PP_1676,cobD,threonine-phosphate decarboxylase CobD,CDS,993
lcl|NC_002947.4_gene_1740,PP_RS08630,PP_1677,,cobyric acid synthase,CDS,1455
lcl|NC_002947.4_gene_1741,PP_RS08635,PP_1678,cobU,bifunctional adenosylcobinamide kinase/adenosylcobinamide-phosphate guanylyltransferase,CDS,522
lcl|NC_002947.4_gene_1742,PP_RS08640,PP_1679,cobT,nicotinate-nucleotide--dimethylbenzimidazole phosphoribosyltransferase,CDS,1056
lcl|NC_002947.4_gene_1743,PP_RS08645,PP_1680,cobC,histidine phosphatase family protein,CDS,567
lcl|NC_002947.4_gene_1744,PP_RS08650,PP_1681,,adenosylcobinamide-GDP ribazoletransferase,CDS,723
lcl|NC_002947.4_gene_1745,PP_RS08655,PP_1682,,glycoside hydrolase family 5 protein,CDS,1116
lcl|NC_002947.4_gene_1746,PP_RS08660,PP_1683,,MarR family winged helix-turn-helix transcriptional regulator,CDS,405
lcl|NC_002947.4_gene_1747,PP_RS08665,PP_1684,,MFS transporter,CDS,1194
lcl|NC_002947.4_gene_1748,PP_RS28800,PP_1685,,hypothetical protein,CDS,123
lcl|NC_002947.4_gene_1749,PP_RS08670,PP_1686,,glutathione peroxidase,CDS,552
lcl|NC_002947.4_gene_1750,PP_RS08675,PP_1687,,DUF2798 domain-containing protein,CDS,261
lcl|NC_002947.4_gene_1751,PP_RS08680,PP_1688,,LysR family transcriptional regulator,CDS,930
lcl|NC_002947.4_gene_1752,PP_RS08685,PP_1689,,OmpP1/FadL family transporter,CDS,1266
lcl|NC_002947.4_gene_1753,PP_RS08690,PP_1690,,hypothetical protein,CDS,483
lcl|NC_002947.4_gene_1754,PP_RS08695,PP_1691,,hypothetical protein,CDS,225
lcl|NC_002947.4_gene_1755,PP_RS08700,PP_1692,,tetratricopeptide repeat protein,CDS,420
lcl|NC_002947.4_gene_1756,PP_RS08705,PP_1694,rmuC,DNA recombination protein RmuC,CDS,1374
lcl|NC_002947.4_gene_1757,PP_RS08710,PP_1695,,PAS domain-containing hybrid sensor histidine kinase/response regulator,CDS,3480
lcl|NC_002947.4_gene_1758,PP_RS08715,PP_1696,,MFS transporter,CDS,1179
lcl|NC_002947.4_gene_1759,PP_RS08720,PP_1697,,GntR family transcriptional regulator,CDS,732
lcl|NC_002947.4_gene_1760,PP_RS08725,PP_1698,,MFS transporter,CDS,1275
lcl|NC_002947.4_gene_1761,PP_RS08730,PP_1699,,amidohydrolase,CDS,834
lcl|NC_002947.4_gene_1762,PP_RS08735,PP_1700,,MFS transporter,CDS,1878
lcl|NC_002947.4_gene_1763,PP_RS08740,PP_1701,sugE,quaternary ammonium compound efflux SMR transporter SugE,CDS,318
lcl|NC_002947.4_gene_1764,PP_RS08745,PP_1702,rdgC,recombination-associated protein RdgC,CDS,921
lcl|NC_002947.4_gene_1765,PP_RS08750,PP_t15,,tRNA-Val,tRNA,76
lcl|NC_002947.4_gene_1766,PP_RS08755,PP_t16,,tRNA-Asp,tRNA,77
lcl|NC_002947.4_gene_1767,PP_RS08760,PP_t17,,tRNA-Val,tRNA,76
lcl|NC_002947.4_gene_1768,PP_RS08765,PP_t18,,tRNA-Asp,tRNA,77
lcl|NC_002947.4_gene_1769,PP_RS08770,PP_1703,,bifunctional nitrate reductase/sulfite reductase flavoprotein subunit alpha,CDS,4026
lcl|NC_002947.4_gene_1770,PP_RS08775,PP_1705,nirB,nitrite reductase large subunit NirB,CDS,2553
lcl|NC_002947.4_gene_1771,PP_RS08780,PP_1706,nirD,nitrite reductase small subunit NirD,CDS,363
lcl|NC_002947.4_gene_1772,PP_RS08785,PP_1707,,2-hydroxyacid dehydrogenase,CDS,951
lcl|NC_002947.4_gene_1773,PP_RS08790,PP_1708,,SDR family oxidoreductase,CDS,759
lcl|NC_002947.4_gene_1774,PP_RS08795,PP_1709,,fumarylacetoacetate hydrolase family protein,CDS,711
lcl|NC_002947.4_gene_1775,PP_RS08800,PP_1710,,MFS transporter,CDS,1341
lcl|NC_002947.4_gene_1776,PP_RS08805,PP_1711,,AraC family transcriptional regulator,CDS,930
lcl|NC_002947.4_gene_1777,PP_RS08810,PP_1712,,hypothetical protein,CDS,1395
lcl|NC_002947.4_gene_1778,PP_RS08815,PP_1713,pcaQ,pca operon transcription factor PcaQ,CDS,933
lcl|NC_002947.4_gene_1779,PP_RS08820,PP_1714,,FKBP-type peptidyl-prolyl cis-trans isomerase,CDS,753
lcl|NC_002947.4_gene_1780,PP_RS08825,PP_1715,,YkvA family protein,CDS,438
lcl|NC_002947.4_gene_1781,PP_RS08830,PP_1716,,helix-turn-helix transcriptional regulator,CDS,339
lcl|NC_002947.4_gene_1782,PP_RS08835,PP_1717,,hypothetical protein,CDS,369
lcl|NC_002947.4_gene_1783,PP_RS08840,PP_1718,,EAL domain-containing protein,CDS,1083
lcl|NC_002947.4_gene_1784,PP_RS08845,PP_1719,,carboxy terminal-processing peptidase,CDS,2082
lcl|NC_002947.4_gene_1785,PP_RS08850,PP_1720,,NAD(P)H-quinone oxidoreductase,CDS,963
lcl|NC_002947.4_gene_1786,PP_RS08855,PP_1721,,HAD family phosphatase,CDS,654
lcl|NC_002947.4_gene_1787,PP_RS08860,PP_1722,,ABC transporter ATP-binding protein,CDS,990
lcl|NC_002947.4_gene_1788,PP_RS08865,PP_1723,,ABC transporter permease,CDS,795
lcl|NC_002947.4_gene_1789,PP_RS08870,PP_1724,,ABC transporter permease subunit,CDS,840
lcl|NC_002947.4_gene_1790,PP_RS08875,PP_1725,,alkaline phosphatase family protein,CDS,807
lcl|NC_002947.4_gene_1791,PP_RS08880,PP_1726,,ABC transporter substrate-binding protein,CDS,1065
lcl|NC_002947.4_gene_1792,PP_RS08885,PP_1727,,UTRA domain-containing protein,CDS,714
lcl|NC_002947.4_gene_1793,PP_RS08890,PP_1728,,mechanosensitive ion channel family protein,CDS,2148
lcl|NC_002947.4_gene_1794,PP_RS28285,PP_1729,,hypothetical protein,CDS,168
lcl|NC_002947.4_gene_1795,PP_RS08895,PP_1730,,M18 family aminopeptidase,CDS,1290
lcl|NC_002947.4_gene_1796,PP_RS08900,PP_1731,,RluA family pseudouridine synthase,CDS,636
lcl|NC_002947.4_gene_1797,PP_RS08905,PP_1732,minE,cell division topological specificity factor MinE,CDS,255
lcl|NC_002947.4_gene_1798,PP_RS08910,PP_1733,minD,septum site-determining protein MinD,CDS,813
lcl|NC_002947.4_gene_1799,PP_RS08915,PP_1734,minC,septum site-determining protein MinC,CDS,762
lcl|NC_002947.4_gene_1800,PP_RS08920,PP_1735,,lipid A biosynthesis lauroyl acyltransferase,CDS,936
lcl|NC_002947.4_gene_1801,PP_RS08925,PP_1736,,patatin-like phospholipase family protein,CDS,1149
lcl|NC_002947.4_gene_1802,PP_RS08930,PP_1737,,VacJ family lipoprotein,CDS,828
lcl|NC_002947.4_gene_1803,PP_RS08935,PP_1738,,serine protein kinase PrkA,CDS,1299
lcl|NC_002947.4_gene_1804,PP_RS08940,PP_1739,,hypothetical protein,CDS,366
lcl|NC_002947.4_gene_1805,PP_RS08945,PP_1740,,beta (1-6) glucans synthase,CDS,1566
lcl|NC_002947.4_gene_1806,PP_RS08950,PP_1741,,glycine betaine ABC transporter substrate-binding protein,CDS,861
lcl|NC_002947.4_gene_1807,PP_RS08955,PP_1742,,DUF485 domain-containing protein,CDS,312
lcl|NC_002947.4_gene_1808,PP_RS08960,PP_1743,,cation acetate symporter,CDS,1665
lcl|NC_002947.4_gene_1809,PP_RS08965,PP_1744,,DUF3309 family protein,CDS,153
lcl|NC_002947.4_gene_1810,PP_RS08970,PP_1745,,SDR family oxidoreductase,CDS,810
lcl|NC_002947.4_gene_1811,PP_RS08975,PP_1746,csrA,carbon storage regulator CsrA,CDS,180
lcl|NC_002947.4_gene_1812,PP_RS08980,PP_1747,,YheU family protein,CDS,228
lcl|NC_002947.4_gene_1813,PP_RS08985,PP_1748,,osmoprotectant NAGGN system M42 family peptidase,CDS,1185
lcl|NC_002947.4_gene_1814,PP_RS08990,PP_1749,ngg,N-acetylglutaminylglutamine synthetase,CDS,1746
lcl|NC_002947.4_gene_1815,PP_RS08995,PP_1750,,N-acetylglutaminylglutamine amidotransferase,CDS,1788
lcl|NC_002947.4_gene_1816,PP_RS09000,PP_1751,mnmC,bifunctional tRNA (5-methylaminomethyl-2-thiouridine)(34)-methyltransferase MnmD/FAD-dependent 5-carboxymethylaminomethyl-2-thiouridine(34) oxidoreductase MnmC,CDS,1965
lcl|NC_002947.4_gene_1817,PP_RS09005,PP_1752,pap,polyphosphate:AMP phosphotransferase,CDS,1494
lcl|NC_002947.4_gene_1818,PP_RS09010,PP_1753,,DMT family transporter,CDS,975
lcl|NC_002947.4_gene_1819,PP_RS09015,PP_1754,,alginate lyase family protein,CDS,1161
lcl|NC_002947.4_gene_1820,PP_RS09020,PP_1755,,class II fumarate hydratase,CDS,1395
lcl|NC_002947.4_gene_1821,PP_RS09025,PP_1756,,DUF2059 domain-containing protein,CDS,525
lcl|NC_002947.4_gene_1822,PP_RS09030,PP_1757,,BolA family transcriptional regulator,CDS,297
lcl|NC_002947.4_gene_1823,PP_RS09035,PP_1758,,rhodanese-related sulfurtransferase,CDS,933
lcl|NC_002947.4_gene_1824,PP_RS09040,PP_1759,,DsbA family protein,CDS,633
lcl|NC_002947.4_gene_1825,PP_RS09045,PP_1760,,ABC transporter ATP-binding protein,CDS,1833
lcl|NC_002947.4_gene_1826,PP_RS09050,PP_1761,,EAL domain-containing protein,CDS,2457
lcl|NC_002947.4_gene_1827,PP_RS09055,PP_1762,,TenA family transcriptional regulator,CDS,786
lcl|NC_002947.4_gene_1828,PP_RS09060,PP_1763,,YciK family oxidoreductase,CDS,741
lcl|NC_002947.4_gene_1829,PP_RS09065,PP_1764,mupP,N-acetylmuramic acid 6-phosphate phosphatase MupP,CDS,672
lcl|NC_002947.4_gene_1830,PP_RS09070,PP_1765,ubiG,bifunctional 2-polyprenyl-6-hydroxyphenol methylase/3-demethylubiquinol 3-O-methyltransferase UbiG,CDS,699
lcl|NC_002947.4_gene_1831,PP_RS09075,PP_1766,mtnA,S-methyl-5-thioribose-1-phosphate isomerase,CDS,1077
lcl|NC_002947.4_gene_1832,PP_RS09080,PP_1767,gyrA,DNA gyrase subunit A,CDS,2772
lcl|NC_002947.4_gene_1833,PP_RS09085,PP_1768,serC,3-phosphoserine/phosphohydroxythreonine transaminase,CDS,1086
lcl|NC_002947.4_gene_1834,PP_RS09090,PP_1769,pheA,prephenate dehydratase,CDS,1104
lcl|NC_002947.4_gene_1835,PP_RS09095,PP_1770,,bifunctional prephenate dehydrogenase/3-phosphoshikimate 1-carboxyvinyltransferase,CDS,2208
lcl|NC_002947.4_gene_1836,PP_RS09100,PP_1771,cmk,(d)CMP kinase,CDS,687
lcl|NC_002947.4_gene_1837,PP_RS09105,PP_1772,rpsA,30S ribosomal protein S1,CDS,1677
lcl|NC_002947.4_gene_1838,PP_RS09110,PP_1773,ihfB,integration host factor subunit beta,CDS,303
lcl|NC_002947.4_gene_1839,PP_RS09115,PP_1774,,lipopolysaccharide assembly protein LapA domain-containing protein,CDS,264
lcl|NC_002947.4_gene_1840,PP_RS09120,PP_1775,,MBL fold metallo-hydrolase RNA specificity domain-containing protein,CDS,1434
lcl|NC_002947.4_gene_1841,PP_RS09125,PP_1776,,mannose-1-phosphate guanylyltransferase/mannose-6-phosphate isomerase,CDS,1443
lcl|NC_002947.4_gene_1842,PP_RS09130,PP_1777,,phosphomannomutase/phosphoglucomutase,CDS,1362
lcl|NC_002947.4_gene_1843,PP_RS09135,PP_1778,,ABC transporter permease,CDS,795
lcl|NC_002947.4_gene_1844,PP_RS09140,PP_1779,,ABC transporter ATP-binding protein,CDS,1218
lcl|NC_002947.4_gene_1845,PP_RS09145,PP_1780,,glycosyltransferase,CDS,4812
lcl|NC_002947.4_gene_1846,PP_RS09150,PP_1781,,acyltransferase,CDS,1089
lcl|NC_002947.4_gene_1847,PP_RS09155,,,DUF3077 domain-containing protein,CDS,194
lcl|NC_002947.4_gene_1848,PP_RS09160,,,hypothetical protein,CDS,223
lcl|NC_002947.4_gene_1849,PP_RS09165,PP_1782,rfbC,"dTDP-4-dehydrorhamnose 3,5-epimerase",CDS,549
lcl|NC_002947.4_gene_1850,PP_RS09170,PP_1783,rfbA,glucose-1-phosphate thymidylyltransferase RfbA,CDS,882
lcl|NC_002947.4_gene_1851,PP_RS09175,PP_1784,rfbD,dTDP-4-dehydrorhamnose reductase,CDS,903
lcl|NC_002947.4_gene_1852,PP_RS09180,PP_1785,rfbB,"dTDP-glucose 4,6-dehydratase",CDS,1101
lcl|NC_002947.4_gene_1853,PP_RS09185,PP_1786,,glycosyltransferase,CDS,3444
lcl|NC_002947.4_gene_1854,PP_RS09190,PP_1787,,hypothetical protein,CDS,1011
lcl|NC_002947.4_gene_1855,PP_RS09195,PP_1788,,hypothetical protein,CDS,1080
lcl|NC_002947.4_gene_1856,PP_RS09200,PP_1789,,HAD family hydrolase,CDS,684
lcl|NC_002947.4_gene_1857,PP_RS09205,PP_1790,,cytidylyltransferase domain-containing protein,CDS,696
lcl|NC_002947.4_gene_1858,PP_RS09210,PP_1791,,aldolase catalytic domain-containing protein,CDS,1605
lcl|NC_002947.4_gene_1859,PP_RS09215,PP_1792,,glycosyltransferase,CDS,2430
lcl|NC_002947.4_gene_1860,PP_RS09220,PP_1793,,glycosyltransferase family 2 protein,CDS,2469
lcl|NC_002947.4_gene_1861,PP_RS09225,PP_1794,,DUF4214 domain-containing protein,CDS,1443
lcl|NC_002947.4_gene_1862,PP_RS09230,PP_1795,,hypothetical protein,CDS,882
lcl|NC_002947.4_gene_1863,PP_RS09235,PP_1796,,type I secretion system permease/ATPase,CDS,1792
lcl|NC_002947.4_gene_1864,PP_RS09240,PP_1797,,HlyD family type I secretion periplasmic adaptor subunit,CDS,1326
lcl|NC_002947.4_gene_1865,PP_RS09245,PP_1798,,TolC family outer membrane protein,CDS,1416
lcl|NC_002947.4_gene_1866,PP_RS09250,PP_1799,gmd,"GDP-mannose 4,6-dehydratase",CDS,1032
lcl|NC_002947.4_gene_1867,PP_RS09255,PP_1800,,"GDP-mannose 4,6-dehydratase",CDS,897
lcl|NC_002947.4_gene_1868,PP_RS09260,PP_1801,,glycosyltransferase family 1 protein,CDS,1143
lcl|NC_002947.4_gene_1869,PP_RS09265,PP_1802,,glycosyltransferase family 4 protein,CDS,1110
lcl|NC_002947.4_gene_1870,PP_RS09270,PP_1803,,SDR family oxidoreductase,CDS,972
lcl|NC_002947.4_gene_1871,PP_RS09275,PP_1804,,glycosyltransferase family 4 protein,CDS,1005
lcl|NC_002947.4_gene_1872,PP_RS09280,PP_1805,,nucleoside-diphosphate sugar epimerase/dehydratase,CDS,2010
lcl|NC_002947.4_gene_1873,PP_RS09285,PP_1806,,SIS domain-containing protein,CDS,948
lcl|NC_002947.4_gene_1874,PP_RS09290,PP_1807,kdsA,3-deoxy-8-phosphooctulonate synthase,CDS,843
lcl|NC_002947.4_gene_1875,PP_RS09295,PP_1808,pgi,glucose-6-phosphate isomerase,CDS,1665
lcl|NC_002947.4_gene_1876,PP_RS28530,,,hypothetical protein,CDS,282
lcl|NC_002947.4_gene_1877,PP_RS09300,PP_5477,,hypothetical protein,CDS,294
lcl|NC_002947.4_gene_1878,PP_RS09305,PP_1810,,hypothetical protein,CDS,684
lcl|NC_002947.4_gene_1879,PP_RS09310,PP_5478,,DUF3077 domain-containing protein,CDS,276
lcl|NC_002947.4_gene_1880,PP_RS09315,PP_1811,wecB,non-hydrolyzing UDP-N-acetylglucosamine 2-epimerase,CDS,1143
lcl|NC_002947.4_gene_1881,PP_RS09320,PP_1813,,ComEA family DNA-binding protein,CDS,330
lcl|NC_002947.4_gene_1882,PP_RS09325,PP_1814,,DUF2897 family protein,CDS,168
lcl|NC_002947.4_gene_1883,PP_RS09330,PP_1815,pyrF,orotidine-5'-phosphate decarboxylase,CDS,702
lcl|NC_002947.4_gene_1884,PP_RS09335,PP_1816,,NADP-dependent oxidoreductase,CDS,1002
lcl|NC_002947.4_gene_1885,PP_RS09340,PP_1817,,SDR family oxidoreductase,CDS,762
lcl|NC_002947.4_gene_1886,PP_RS09345,PP_1818,,outer membrane beta-barrel protein,CDS,744
lcl|NC_002947.4_gene_1887,PP_RS09350,PP_1819,,methyl-accepting chemotaxis protein,CDS,1941
lcl|NC_002947.4_gene_1888,PP_RS09355,PP_1820,,benzoate/H(+) symporter BenE family transporter,CDS,1191
lcl|NC_002947.4_gene_1889,PP_RS09360,PP_1821,,glutathione S-transferase family protein,CDS,603
lcl|NC_002947.4_gene_1890,PP_RS09365,PP_1822,,glutaredoxin,CDS,372
lcl|NC_002947.4_gene_1891,PP_RS09370,PP_1823,folE,GTP cyclohydrolase I FolE,CDS,546
lcl|NC_002947.4_gene_1892,PP_RS09375,PP_1824,,Smr/MutS family protein,CDS,561
lcl|NC_002947.4_gene_1893,PP_RS09380,PP_1825,,hypothetical protein,CDS,321
lcl|NC_002947.4_gene_1894,PP_RS09385,PP_1826,,cysteine hydrolase family protein,CDS,591
lcl|NC_002947.4_gene_1895,PP_RS09390,PP_1827,prmB,50S ribosomal protein L3 N(5)-glutamine methyltransferase,CDS,909
lcl|NC_002947.4_gene_1896,PP_RS09395,PP_1828,,hypothetical protein,CDS,783
lcl|NC_002947.4_gene_1897,PP_RS09400,PP_1829,,alpha/beta hydrolase,CDS,963
lcl|NC_002947.4_gene_1898,PP_RS09405,PP_1830,aroC,chorismate synthase,CDS,1092
lcl|NC_002947.4_gene_1899,PP_RS09410,PP_1831,,MFS transporter,CDS,1155
lcl|NC_002947.4_gene_1900,PP_RS09415,PP_1832,,oxidase,CDS,537
lcl|NC_002947.4_gene_1901,PP_RS09420,PP_1833,,DUF3509 domain-containing protein,CDS,273
lcl|NC_002947.4_gene_1902,PP_RS09425,PP_1834,,ankyrin repeat domain-containing protein,CDS,525
lcl|NC_002947.4_gene_1903,PP_RS09430,PP_1835,,hypothetical protein,CDS,531
lcl|NC_002947.4_gene_1904,PP_RS09435,PP_1836,,ZIP family metal transporter,CDS,939
lcl|NC_002947.4_gene_1905,PP_RS09440,PP_1837,,PLDc N-terminal domain-containing protein,CDS,192
lcl|NC_002947.4_gene_1906,PP_RS09445,PP_1838,,LTA synthase family protein,CDS,2058
lcl|NC_002947.4_gene_1907,PP_RS09450,PP_1839,,hypothetical protein,CDS,237
lcl|NC_002947.4_gene_1908,PP_RS09455,PP_1840,,ribonuclease E inhibitor RraB,CDS,333
lcl|NC_002947.4_gene_1909,PP_RS09460,PP_1841,,cytochrome c,CDS,801
lcl|NC_002947.4_gene_1910,PP_RS09465,PP_1842,,amidotransferase,CDS,735
lcl|NC_002947.4_gene_1911,PP_RS09470,PP_1843,,magnesium and cobalt transport protein CorA,CDS,972
lcl|NC_002947.4_gene_1912,PP_RS09475,PP_1844,,1-acyl-sn-glycerol-3-phosphate acyltransferase,CDS,714
lcl|NC_002947.4_gene_1913,PP_RS09480,PP_1845,,crotonase/enoyl-CoA hydratase family protein,CDS,690
lcl|NC_002947.4_gene_1914,PP_RS09485,PP_t19,,tRNA-Ser,tRNA,90
lcl|NC_002947.4_gene_1915,PP_RS09490,PP_1846,ltrA,group II intron reverse transcriptase/maturase,CDS,1422
lcl|NC_002947.4_gene_1916,PP_RS09495,PP_1847,,TonB-dependent siderophore receptor,CDS,2133
lcl|NC_002947.4_gene_1917,PP_RS09500,PP_1849,,hypothetical protein,CDS,381
lcl|NC_002947.4_gene_1918,PP_RS09505,PP_1850,,MFS transporter,CDS,1188
lcl|NC_002947.4_gene_1919,PP_RS09510,PP_5479,,LysR family transcriptional regulator,CDS,879
lcl|NC_002947.4_gene_1920,PP_RS09515,PP_1852,,3-oxoacyl-ACP reductase family protein,CDS,750
lcl|NC_002947.4_gene_1921,PP_RS09520,PP_1853,,LysR family transcriptional regulator,CDS,939
lcl|NC_002947.4_gene_1922,PP_RS09525,PP_1854,,GreA/GreB family elongation factor,CDS,471
lcl|NC_002947.4_gene_1923,PP_RS09530,PP_1855,,hypothetical protein,CDS,399
lcl|NC_002947.4_gene_1924,PP_RS09535,PP_1857,earP,elongation factor P maturation arginine rhamnosyltransferase EarP,CDS,1134
lcl|NC_002947.4_gene_1925,PP_RS09540,PP_1858,efp,elongation factor P,CDS,570
lcl|NC_002947.4_gene_1926,PP_RS09545,PP_1859,,organic hydroperoxide resistance protein,CDS,429
lcl|NC_002947.4_gene_1927,PP_RS09550,PP_1860,,MarR family winged helix-turn-helix transcriptional regulator,CDS,456
lcl|NC_002947.4_gene_1928,PP_RS09555,PP_1861,,LysR family transcriptional regulator,CDS,954
lcl|NC_002947.4_gene_1929,PP_RS09560,PP_1862,,sulfite exporter TauE/SafE family protein,CDS,750
lcl|NC_002947.4_gene_1930,PP_RS09565,PP_1863,,LysR substrate-binding domain-containing protein,CDS,852
lcl|NC_002947.4_gene_1931,PP_RS09570,PP_1864,,DUF1127 domain-containing protein,CDS,219
lcl|NC_002947.4_gene_1932,PP_RS09575,PP_1865,,IS4-like element ISPpu8 family transposase,CDS,1302
lcl|NC_002947.4_gene_1933,PP_RS09585,PP_1866,,class II 3-deoxy-7-phosphoheptulonate synthase,CDS,1347
lcl|NC_002947.4_gene_1934,PP_RS09590,PP_1867,,spermidine synthase,CDS,756
lcl|NC_002947.4_gene_1935,PP_RS09595,PP_1868,,DEAD/DEAH box helicase,CDS,1714
lcl|NC_002947.4_gene_1936,PP_RS09600,PP_1869,,class III extradiol ring-cleavage dioxygenase,CDS,768
lcl|NC_002947.4_gene_1937,PP_RS09605,PP_1870,,thiopurine S-methyltransferase,CDS,651
lcl|NC_002947.4_gene_1938,PP_RS09610,PP_1871,htpX,protease HtpX,CDS,888
lcl|NC_002947.4_gene_1939,PP_RS09615,PP_1872,,pyridoxal phosphate-dependent aminotransferase,CDS,1212
lcl|NC_002947.4_gene_1940,PP_RS09620,PP_1873,msrB,peptide-methionine (R)-S-oxide reductase MsrB,CDS,396
lcl|NC_002947.4_gene_1941,PP_RS09625,PP_1874,,glutathione peroxidase,CDS,489
lcl|NC_002947.4_gene_1942,PP_RS09630,PP_1875,,ATP-binding protein,CDS,2358
lcl|NC_002947.4_gene_1943,PP_RS09635,PP_1876,,ATP-binding protein,CDS,888
lcl|NC_002947.4_gene_1944,PP_RS09640,PP_1877,,GAF domain-containing protein,CDS,483
lcl|NC_002947.4_gene_1945,PP_RS09645,PP_1878,,hypothetical protein,CDS,768
lcl|NC_002947.4_gene_1946,PP_RS09650,PP_t20,,tRNA-Glu,tRNA,76
lcl|NC_002947.4_gene_1947,PP_RS09655,PP_t21,,tRNA-Gly,tRNA,76
lcl|NC_002947.4_gene_1948,PP_RS09660,PP_t22,,tRNA-Glu,tRNA,76
lcl|NC_002947.4_gene_1949,PP_RS09665,PP_t23,,tRNA-Gly,tRNA,76
lcl|NC_002947.4_gene_1950,PP_RS09670,PP_t24,,tRNA-Gly,tRNA,76
lcl|NC_002947.4_gene_1951,PP_RS09675,PP_1879,,hypothetical protein,CDS,1491
lcl|NC_002947.4_gene_1952,PP_RS09680,PP_1880,,autotransporter outer membrane beta-barrel domain-containing protein,CDS,2193
lcl|NC_002947.4_gene_1953,PP_RS09685,PP_1881,,hypothetical protein,CDS,2010
