,PPutida_1,PPutida_2,PPutida_4,locus_tag,name,description,type,length
PP_1924,13.0,29.0,15.0,PP_RS09925,,arsinothricin resistance N-acetyltransferase ArsN1 family B,CDS,561
PP_1925,45.0,57.0,44.0,PP_RS09930,,ArsO family NAD(P)H-dependent flavin-containing monooxygenase,CDS,1083
PP_1926,13.0,24.0,11.0,PP_RS09935,,cyclin-dependent kinase inhibitor 3 family protein,CDS,504
PP_1927,17.0,36.0,30.0,PP_RS09940,arsH,arsenical resistance protein ArsH,CDS,714
PP_1928,21.0,13.0,5.0,PP_RS09945,,arsenate reductase ArsC,CDS,471
PP_1929,20.0,13.0,16.0,PP_RS09950,arsB,arsenical efflux pump membrane protein ArsB,CDS,1284
PP_1930,7.0,4.0,4.0,PP_RS09955,,metalloregulator ArsR/SmtB family transcription factor,CDS,357
PP_5485,34.0,40.0,47.0,PP_RS09960,arsN2,arsenic resistance N-acetyltransferase ArsN2,CDS,495
PP_1931,74.0,63.0,57.0,PP_RS09965,,IS1182-like element ISPpu16 family transposase,CDS,1437
PP_0188,26.0,86.0,102.0,PP_RS01005,,uroporphyrinogen-III C-methyltransferase,CDS,1101
PP_1932,138.0,101.0,113.0,PP_RS09970,,DUF2321 domain-containing protein,CDS,750
PP_1934,48.0,44.0,45.0,PP_RS09975,,hypothetical protein,CDS,633
PP_1935,6.0,1.0,2.0,PP_RS09980,,helix-turn-helix domain-containing protein,CDS,282
PP_5487,55.0,62.0,39.0,PP_RS09985,,hypothetical protein,CDS,393
PP_5488,396.0,300.0,248.0,PP_RS09990,,hypothetical protein,CDS,660
PP_5489,79.0,89.0,59.0,PP_RS09995,,hypothetical protein,CDS,498
PP_5490,180.0,162.0,117.0,PP_RS10000,,recombinase family protein,CDS,567
PP_1936,364.0,261.0,193.0,PP_RS10005,,KAP family NTPase,CDS,2937
PP_5491,88.0,51.0,64.0,PP_RS10010,,SEC-C metal-binding domain-containing protein,CDS,915
PP_5492,106.0,62.0,56.0,PP_RS10015,,hypothetical protein,CDS,393
PP_0189,38.0,113.0,118.0,PP_RS01010,,heme biosynthesis protein HemY,CDS,1239
PP_1937,213.0,130.0,150.0,PP_RS10020,,SNF2-related protein,CDS,3258
PP_1938,33.0,29.0,27.0,PP_RS10025,,hypothetical protein,CDS,288
PP_1939,3.0,1.0,3.0,PP_RS10030,,"formaldehyde dehydrogenase, glutathione-independent",CDS,162
PP_1940,109.0,64.0,70.0,PP_RS10035,,methyl-accepting chemotaxis protein,CDS,2151
PP_1941,120.0,135.0,118.0,PP_RS10040,,TetR/AcrR family transcriptional regulator,CDS,603
PP_1942,122.0,157.0,119.0,PP_RS10045,,LysR family transcriptional regulator,CDS,963
PP_1943,40.0,21.0,8.0,PP_RS10050,purU,formyltetrahydrofolate deformylase,CDS,864
PP_1944,26.0,38.0,28.0,PP_RS10055,,aminomethyltransferase family protein,CDS,1278
PP_1945,36.0,31.0,17.0,PP_RS10060,folD,bifunctional methylenetetrahydrofolate dehydrogenase/methenyltetrahydrofolate cyclohydrolase FolD,CDS,876
PP_1946,28.0,21.0,6.0,PP_RS10065,,glucose 1-dehydrogenase,CDS,789
PP_0190,9.0,15.0,7.0,PP_RS01015,,disulfide bond formation protein B,CDS,507
PP_1947,29.0,14.0,2.0,PP_RS10070,,aminopeptidase,CDS,990
PP_1948,44.0,15.0,16.0,PP_RS10075,,aldehyde dehydrogenase,CDS,1428
PP_1949,79.0,51.0,30.0,PP_RS10080,,GMC family oxidoreductase,CDS,1635
PP_1950,36.0,9.0,9.0,PP_RS10085,,cytochrome P450,CDS,1179
PP_1951,21.0,8.0,12.0,PP_RS10090,,SDR family NAD(P)-dependent oxidoreductase,CDS,828
PP_1952,38.0,22.0,11.0,PP_RS10095,,MBL fold metallo-hydrolase,CDS,927
PP_1953,19.0,63.0,31.0,PP_RS10100,,SDR family NAD(P)-dependent oxidoreductase,CDS,840
PP_1954,37.0,13.0,17.0,PP_RS10105,,serine hydrolase,CDS,1167
PP_1955,43.0,20.0,10.0,PP_RS10110,,cytochrome P450,CDS,1236
PP_1956,58.0,26.0,28.0,PP_RS10115,,transporter,CDS,969
PP_0191,162.0,393.0,416.0,PP_RS01020,,Rsd/AlgQ family anti-sigma factor,CDS,471
PP_1957,28.0,23.0,11.0,PP_RS10120,,PDR/VanB family oxidoreductase,CDS,954
PP_5493,152.0,74.0,47.0,PP_RS10125,,hypothetical protein,CDS,294
PP_5494,66.0,56.0,35.0,PP_RS10130,,hypothetical protein,CDS,471
PP_1958,53.0,81.0,78.0,PP_RS10135,,DUF2026 domain-containing protein,CDS,645
PP_5495,1157.0,523.0,294.0,PP_RS10140,,hypothetical protein,CDS,438
PP_1959,380.0,350.0,197.0,PP_RS10145,,hypothetical protein,CDS,1161
PP_1960,1294.0,1623.0,932.0,PP_RS10150,,site-specific integrase,CDS,1323
PP_1961,617.0,729.0,508.0,PP_RS10155,,TetR/AcrR family transcriptional regulator,CDS,990
PP_1962,1849.0,1890.0,1237.0,PP_RS10160,,tyrosine-type recombinase/integrase,CDS,2019
PP_1963,1321.0,1338.0,799.0,PP_RS10165,,hypothetical protein,CDS,1965
PP_0192,14.0,60.0,59.0,PP_RS01025,,FKBP-type peptidyl-prolyl cis-trans isomerase,CDS,639
PP_1964,965.0,1139.0,540.0,PP_RS10170,,deoxynucleotide monophosphate kinase,CDS,804
PP_1966,52.0,154.0,99.0,PP_RS10180,,DNA polymerase III subunit delta',CDS,987
PP_1967,15.0,136.0,89.0,PP_RS10185,,TatD family hydrolase,CDS,783
PP_1968,51.0,119.0,147.0,PP_RS10190,,TetR/AcrR family transcriptional regulator,CDS,636
PP_1969,16.0,28.0,18.0,PP_RS10195,,"GTP 3',8-cyclase MoaA",CDS,969
PP_1970,18.0,38.0,18.0,PP_RS10200,,DUF4823 domain-containing protein,CDS,606
PP_1971,53.0,101.0,82.0,PP_RS10205,,DUF1285 domain-containing protein,CDS,561
PP_t63,0.0,2.0,2.0,PP_RS10210,,tRNA-Asn,tRNA,76
PP_1972,76.0,144.0,136.0,PP_RS10215,,amino acid aminotransferase,CDS,1197
PP_0194,255.0,404.0,564.0,PP_RS01030,,AlgP family protein,CDS,990
PP_1974,58.0,206.0,212.0,PP_RS10220,uvrB,excinuclease ABC subunit UvrB,CDS,2016
PP_1975,34.0,41.0,33.0,PP_RS10225,,MDR family MFS transporter,CDS,1491
PP_1976,10.0,7.0,13.0,PP_RS10230,,HlyD family secretion protein,CDS,1056
PP_1977,60.0,167.0,221.0,PP_RS10235,gltX,glutamate--tRNA ligase,CDS,1482
PP_t25,0.0,1.0,4.0,PP_RS10240,,tRNA-Ala,tRNA,76
PP_t26,4.0,6.0,2.0,PP_RS10245,,tRNA-Glu,tRNA,76
PP_t27,0.0,0.0,2.0,PP_RS10250,,tRNA-Ala,tRNA,76
PP_t29,0.0,2.0,4.0,PP_RS10260,,tRNA-Ala,tRNA,76
PP_0195,7.0,9.0,15.0,PP_RS01035,,TIGR02444 family protein,CDS,480
PP_1978,7.0,11.0,2.0,PP_RS10270,,TetR/AcrR family transcriptional regulator,CDS,540
PP_1979,4.0,12.0,8.0,PP_RS10275,,alpha/beta fold hydrolase,CDS,882
PP_1980,11.0,13.0,13.0,PP_RS10280,,thioesterase family protein,CDS,435
PP_1981,8.0,46.0,29.0,PP_RS10285,,tRNA dihydrouridine(16) synthase DusC,CDS,972
PP_1982,219.0,775.0,382.0,PP_RS10290,,Hsp20 family protein,CDS,444
PP_1983,78.0,137.0,155.0,PP_RS10295,,bifunctional diguanylate cyclase/phosphodiesterase,CDS,3297
PP_1984,14.0,31.0,40.0,PP_RS10300,,LysR family transcriptional regulator,CDS,879
PP_1985,50.0,198.0,194.0,PP_RS10305,leuC,3-isopropylmalate dehydratase large subunit,CDS,1434
PP_1986,15.0,88.0,58.0,PP_RS10310,leuD,3-isopropylmalate dehydratase small subunit,CDS,645
PP_1987,0.0,42.0,23.0,PP_RS10315,,class I SAM-dependent methyltransferase,CDS,765
PP_0196,43.0,91.0,141.0,PP_RS01040,,ATP-binding cassette domain-containing protein,CDS,1911
PP_1988,48.0,138.0,152.0,PP_RS10320,leuB,3-isopropylmalate dehydrogenase,CDS,1083
PP_1989,31.0,185.0,196.0,PP_RS10325,asd,aspartate-semialdehyde dehydrogenase,CDS,1113
PP_1990,38.0,70.0,65.0,PP_RS10330,,IS4-like element ISPpu8 family transposase,CDS,1302
PP_1992,123.0,85.0,73.0,PP_RS10335,,aspartate-semialdehyde dehydrogenase,CDS,1005
PP_1993,63.0,210.0,215.0,PP_RS10340,,FimV/HubP family polar landmark protein,CDS,2736
PP_1994,22.0,27.0,42.0,PP_RS10345,truA,tRNA pseudouridine(38-40) synthase TruA,CDS,861
PP_1995,24.0,84.0,68.0,PP_RS10350,,phosphoribosylanthranilate isomerase,CDS,621
PP_1996,51.0,99.0,138.0,PP_RS10355,accD,"acetyl-CoA carboxylase, carboxyltransferase subunit beta",CDS,894
PP_1997,49.0,109.0,74.0,PP_RS10360,folC,bifunctional tetrahydrofolate synthase/dihydrofolate synthase,CDS,1308
PP_1998,13.0,19.0,36.0,PP_RS10365,,SPOR domain-containing protein,CDS,645
PP_0197,2.0,10.0,6.0,PP_RS01045,,mechanosensitive ion channel family protein,CDS,588
PP_1999,31.0,96.0,85.0,PP_RS10370,,CvpA family protein,CDS,558
PP_2000,93.0,251.0,238.0,PP_RS10375,purF,amidophosphoribosyltransferase,CDS,1506
PP_2001,72.0,216.0,249.0,PP_RS10380,,O-succinylhomoserine sulfhydrylase,CDS,1212
PP_2002,19.0,58.0,39.0,PP_RS10385,,SDR family oxidoreductase,CDS,774
PP_t32,0.0,4.0,0.0,PP_RS10395,,tRNA-Asp,tRNA,77
PP_t34,0.0,2.0,0.0,PP_RS10405,,tRNA-Asp,tRNA,77
PP_2003,28.0,60.0,44.0,PP_RS10410,,DUF2242 domain-containing protein,CDS,825
PP_2004,17.0,53.0,59.0,PP_RS10415,,AraC family transcriptional regulator,CDS,1041
PP_0020,180.0,265.0,311.0,PP_RS28370,,hypothetical protein,CDS,870
PP_0198,15.0,30.0,27.0,PP_RS01050,,LysE family transporter,CDS,633
PP_2005,33.0,86.0,64.0,PP_RS10420,,nitrilase-related carbon-nitrogen hydrolase,CDS,1119
PP_2006,178.0,157.0,210.0,PP_RS10425,,TULIP family P47-like protein,CDS,1644
PP_2007,31.0,59.0,39.0,PP_RS10430,,TULIP family P47-like protein,CDS,1233
PP_2008,22.0,55.0,35.0,PP_RS10435,,"NADPH-dependent 2,4-dienoyl-CoA reductase",CDS,2037
PP_2009,5.0,26.0,39.0,PP_RS10440,,1-aminocyclopropane-1-carboxylate deaminase/D-cysteine desulfhydrase,CDS,894
PP_2010,21.0,122.0,200.0,PP_RS10445,,cytochrome b,CDS,546
PP_2011,2.0,35.0,32.0,PP_RS10450,,DUF1853 family protein,CDS,1023
PP_2012,25.0,58.0,91.0,PP_RS10455,,NAD(+) kinase,CDS,891
PP_2013,10.0,37.0,70.0,PP_RS10460,,metallophosphoesterase,CDS,972
PP_2014,28.0,68.0,60.0,PP_RS10465,,rhomboid family intramembrane serine protease,CDS,888
PP_0199,31.0,26.0,16.0,PP_RS01055,,slipin family protein,CDS,753
PP_2015,36.0,104.0,83.0,PP_RS10470,,YeaC family protein,CDS,261
PP_2016,8.0,36.0,61.0,PP_RS10475,,DUF2797 domain-containing protein,CDS,831
PP_2017,111.0,458.0,448.0,PP_RS10480,pepN,aminopeptidase N,CDS,2658
PP_2018,12.0,27.0,40.0,PP_RS10485,,YCF48-related protein,CDS,1041
PP_2019,75.0,181.0,154.0,PP_RS10490,,RND family transporter,CDS,2376
PP_2020,9.0,36.0,17.0,PP_RS10495,,DUF5629 family protein,CDS,291
PP_2021,46.0,82.0,86.0,PP_RS10500,,lactonase family protein,CDS,1131
PP_5496,6.0,2.0,14.0,PP_RS28295,,hypothetical protein,CDS,177
PP_2023,3.0,17.0,15.0,PP_RS10505,,glutathione S-transferase,CDS,594
PP_2024,20.0,78.0,103.0,PP_RS10510,,AAA family ATPase,CDS,3645
PP_0200,9.0,30.0,27.0,PP_RS01060,,nodulation protein NfeD,CDS,1347
PP_2025,30.0,44.0,56.0,PP_RS10515,,exonuclease SbcCD subunit D C-terminal domain-containing protein,CDS,1239
PP_2026,5.0,14.0,7.0,PP_RS10525,,hypothetical protein,CDS,267
PP_2027,14.0,24.0,14.0,PP_RS10530,,BatD family protein,CDS,1632
PP_2028,8.0,19.0,6.0,PP_RS10535,,tetratricopeptide repeat protein,CDS,1719
PP_2029,3.0,15.0,19.0,PP_RS10540,,VWA domain-containing protein,CDS,1077
PP_2030,3.0,8.0,4.0,PP_RS10545,,DUF4381 domain-containing protein,CDS,495
PP_2031,4.0,15.0,9.0,PP_RS10550,,DUF58 domain-containing protein,CDS,945
PP_2032,29.0,66.0,74.0,PP_RS10555,,MoxR family ATPase,CDS,960
PP_2033,22.0,18.0,16.0,PP_RS10560,,DUF2235 domain-containing protein,CDS,1311
PP_0201,63.0,158.0,138.0,PP_RS01065,,aminoacyl-tRNA deacylase,CDS,459
PP_2034,7.0,17.0,2.0,PP_RS10565,,MFS transporter,CDS,1218
PP_2035,11.0,12.0,6.0,PP_RS10570,,benzoate/H(+) symporter BenE family transporter,CDS,1215
PP_2036,8.0,29.0,11.0,PP_RS10575,,dihydrodipicolinate synthase family protein,CDS,888
PP_2037,6.0,8.0,3.0,PP_RS10580,,aldolase,CDS,783
PP_2038,17.0,6.0,9.0,PP_RS10585,,AMP-binding protein,CDS,1548
PP_2039,12.0,19.0,10.0,PP_RS10590,,acyl-CoA dehydrogenase family protein,CDS,1167
PP_2040,23.0,20.0,24.0,PP_RS10595,,MFS transporter,CDS,1254
PP_2041,21.0,22.0,14.0,PP_RS10600,,LysR family transcriptional regulator,CDS,945
PP_2042,33.0,22.0,12.0,PP_RS10605,,DUF1302 domain-containing protein,CDS,1854
PP_2043,15.0,11.0,12.0,PP_RS10610,,DUF1329 domain-containing protein,CDS,1311
PP_5432,94.0,93.0,126.0,PP_RS01070,,DUF2789 domain-containing protein,CDS,243
PP_2044,2.0,2.0,0.0,PP_RS10615,,YidH family protein,CDS,387
PP_5499,0.0,3.0,2.0,PP_RS10620,,DUF202 domain-containing protein,CDS,294
PP_2045,31.0,21.0,18.0,PP_RS10625,,alkyl/aryl-sulfatase,CDS,1962
PP_2046,8.0,8.0,14.0,PP_RS10630,,LysR family transcriptional regulator,CDS,924
PP_2047,13.0,16.0,7.0,PP_RS10635,,3-hydroxyacyl-CoA dehydrogenase,CDS,1239
PP_2048,23.0,16.0,6.0,PP_RS10640,,acyl-CoA dehydrogenase C-terminal domain-containing protein,CDS,1776
PP_2049,4.0,6.0,2.0,PP_RS10645,,iron-containing alcohol dehydrogenase,CDS,1164
PP_2050,8.0,2.0,0.0,PP_RS10650,,thioesterase family protein,CDS,453
PP_2051,6.0,10.0,12.0,PP_RS10655,,acetyl-CoA C-acyltransferase,CDS,1185
PP_2052,63.0,189.0,80.0,PP_RS10660,,bifunctional mannitol-1-phosphate dehydrogenase/phosphatase,CDS,2124
PP_5433,32.0,100.0,123.0,PP_RS01075,,hypothetical protein,CDS,639
PP_2053,4.0,17.0,21.0,PP_RS10665,,DUF3144 domain-containing protein,CDS,297
PP_2054,14.0,28.0,16.0,PP_RS10670,,LysR family transcriptional regulator,CDS,894
PP_2055,7.0,11.0,0.0,PP_RS10675,,4-oxalomesaconate tautomerase,CDS,1080
PP_2056,38.0,13.0,4.0,PP_RS10680,,dicarboxylate/amino acid:cation symporter,CDS,1308
PP_2057,19.0,17.0,15.0,PP_RS10685,,CitMHS family transporter,CDS,1305
PP_2058,20.0,9.0,14.0,PP_RS10690,,OprD family porin,CDS,1254
PP_2059,6.0,13.0,5.0,PP_RS10695,,CsbD family protein,CDS,249
PP_2060,12.0,15.0,15.0,PP_RS10700,soxR,redox-sensitive transcriptional activator SoxR,CDS,456
PP_2062,46.0,11.0,8.0,PP_RS10710,,RHS repeat-associated core domain-containing protein,CDS,591
PP_0202,44.0,104.0,90.0,PP_RS01080,,CBS domain-containing protein,CDS,438
PP_5501,182.0,108.0,56.0,PP_RS10715,,RHS repeat-associated core domain-containing protein,CDS,948
PP_2064,2.0,14.0,3.0,PP_RS10720,,efflux RND transporter periplasmic adaptor subunit,CDS,1098
PP_2065,15.0,60.0,30.0,PP_RS10725,,MexW/MexI family multidrug efflux RND transporter permease subunit,CDS,3084
PP_2066,4.0,18.0,18.0,PP_RS10730,,GntR family transcriptional regulator,CDS,738
PP_2067,22.0,13.0,2.0,PP_RS10735,,DHA2 family efflux MFS transporter permease subunit,CDS,1515
PP_2068,6.0,10.0,3.0,PP_RS10740,,HlyD family secretion protein,CDS,1146
PP_2069,2.0,7.0,5.0,PP_RS10745,,efflux transporter outer membrane subunit,CDS,1419
PP_2070,0.0,7.0,6.0,PP_RS10750,,helix-turn-helix transcriptional regulator,CDS,711
PP_2071,12.0,1.0,7.0,PP_RS10755,,cupin domain-containing protein,CDS,387
PP_2072,8.0,7.0,8.0,PP_RS10760,,AraC family transcriptional regulator,CDS,825
PP_0203,97.0,218.0,230.0,PP_RS01085,,dipeptidase,CDS,1731
PP_2073,6.0,23.0,8.0,PP_RS10765,,acetyltransferase,CDS,444
PP_2074,14.0,34.0,48.0,PP_RS10770,,LysR family transcriptional regulator,CDS,969
PP_2075,34.0,38.0,22.0,PP_RS10775,,DUF6708 domain-containing protein,CDS,1131
PP_2076,45.0,32.0,18.0,PP_RS10780,,T6SS effector BTH_I2691 family protein,CDS,2673
PP_2077,18.0,14.0,4.0,PP_RS10785,lysA,diaminopimelate decarboxylase,CDS,1233
PP_2078,10.0,21.0,13.0,PP_RS10790,,LysR family transcriptional regulator,CDS,906
PP_2079,25.0,41.0,32.0,PP_RS10795,,hypothetical protein,CDS,354
PP_2080,160.0,452.0,519.0,PP_RS10800,,NAD-glutamate dehydrogenase,CDS,4866
PP_2081,61.0,103.0,109.0,PP_RS10805,,"pyruvate, water dikinase regulatory protein",CDS,819
PP_2082,142.0,629.0,562.0,PP_RS10810,ppsA,phosphoenolpyruvate synthase,CDS,2376
PP_t74,0.0,0.0,2.0,PP_RS01090,,tRNA-Arg,tRNA,77
PP_2083,18.0,40.0,16.0,PP_RS10815,,alpha/beta fold hydrolase,CDS,993
PP_2084,41.0,218.0,240.0,PP_RS10820,rraA,ribonuclease E activity regulator RraA,CDS,492
PP_2085,30.0,91.0,141.0,PP_RS10825,,zinc transporter ZntB,CDS,996
PP_2086,9.0,58.0,26.0,PP_RS10830,,hypothetical protein,CDS,273
PP_2087,40.0,94.0,99.0,PP_RS10835,,mechanosensitive ion channel domain-containing protein,CDS,825
PP_2088,84.0,184.0,168.0,PP_RS10840,sigX,RNA polymerase sigma factor SigX,CDS,567
PP_2089,1443.0,3784.0,4337.0,PP_RS10845,,OmpA family protein,CDS,1035
PP_2090,5.0,5.0,1.0,PP_RS10850,cobA,uroporphyrinogen-III C-methyltransferase,CDS,741
PP_2091,12.0,5.0,12.0,PP_RS10855,,bifunctional protein-serine/threonine kinase/phosphatase,CDS,1671
PP_2092,6.0,7.0,3.0,PP_RS10860,,NarK/NasA family nitrate transporter,CDS,1212
PP_0204,34.0,36.0,34.0,PP_RS01095,,GntR family transcriptional regulator,CDS,750
PP_2093,5.0,3.0,0.0,PP_RS10865,,ANTAR domain-containing response regulator,CDS,576
PP_2094,10.0,22.0,10.0,PP_RS10870,,CmpA/NrtA family ABC transporter substrate-binding protein,CDS,1215
PP_2095,16.0,70.0,117.0,PP_RS10875,,quinone-dependent dihydroorotate dehydrogenase,CDS,1023
PP_5502,810.0,1133.0,1342.0,PP_RS10880,,ribosome modulation factor,CDS,216
PP_2096,39.0,139.0,140.0,PP_RS10885,rlmKL,bifunctional 23S rRNA (guanine(2069)-N(7))-methyltransferase RlmK/23S rRNA (guanine(2445)-N(2))-methyltransferase RlmL,CDS,2193
PP_2097,20.0,81.0,72.0,PP_RS10890,,diguanylate cyclase,CDS,2403
PP_2098,64.0,187.0,199.0,PP_RS10895,dacB,D-alanyl-D-alanine carboxypeptidase/D-alanyl-D-alanine-endopeptidase,CDS,1455
PP_2099,43.0,124.0,116.0,PP_RS10900,,YggL family protein,CDS,345
PP_2100,42.0,38.0,37.0,PP_RS10905,,ATP-binding protein,CDS,3630
PP_2101,19.0,0.0,4.0,PP_RS10910,,response regulator transcription factor,CDS,618
PP_0021,54.0,68.0,79.0,PP_RS00110,,hypothetical protein,CDS,924
PP_0205,41.0,96.0,65.0,PP_RS01100,,fumarate reductase/succinate dehydrogenase flavoprotein subunit,CDS,1725
PP_2102,25.0,70.0,85.0,PP_RS10915,,deoxyguanosinetriphosphate triphosphohydrolase,CDS,1332
PP_2103,2.0,24.0,20.0,PP_RS10920,,hypothetical protein,CDS,330
PP_2104,2.0,16.0,21.0,PP_RS10925,,phage holin family protein,CDS,375
PP_2105,15.0,86.0,92.0,PP_RS10930,,YqjD family protein,CDS,315
PP_2106,37.0,78.0,37.0,PP_RS10935,,ammonium transporter,CDS,1209
PP_2107,13.0,60.0,33.0,PP_RS10940,,glutaredoxin family protein,CDS,240
PP_2108,9.0,30.0,38.0,PP_RS10945,,D-Ala-D-Ala carboxypeptidase family metallohydrolase,CDS,432
PP_2109,9.0,36.0,34.0,PP_RS10950,,hypothetical protein,CDS,309
PP_2110,20.0,35.0,44.0,PP_RS10955,,pseudouridine synthase,CDS,885
PP_2111,40.0,228.0,175.0,PP_RS10960,,PAS domain-containing methyl-accepting chemotaxis protein,CDS,1566
PP_0206,5.0,0.0,7.0,PP_RS01105,,ferredoxin family protein,CDS,246
PP_2112,70.0,190.0,203.0,PP_RS10965,acnA,aconitate hydratase AcnA,CDS,2742
PP_2113,14.0,60.0,85.0,PP_RS10970,rlmM,23S rRNA (cytidine(2498)-2'-O)-methyltransferase RlmM,CDS,1065
PP_2114,37.0,69.0,45.0,PP_RS10975,,IS4-like element ISPpu8 family transposase,CDS,1302
PP_2115,5.0,8.0,7.0,PP_RS10980,,hypothetical protein,CDS,198
PP_2116,4.0,40.0,19.0,PP_RS10985,tusA,sulfurtransferase TusA,CDS,243
PP_2117,4.0,35.0,28.0,PP_RS10990,pdxB,4-phosphoerythronate dehydrogenase PdxB,CDS,1143
PP_2118,22.0,186.0,157.0,PP_RS28300,,PA1571 family protein,CDS,174
PP_2119,18.0,23.0,24.0,PP_RS10995,,ABC transporter transmembrane domain-containing protein,CDS,1764
PP_2120,16.0,21.0,10.0,PP_RS11000,,methyl-accepting chemotaxis protein,CDS,1617
PP_0207,22.0,21.0,12.0,PP_RS01110,,ABC transporter substrate-binding protein,CDS,1407
PP_2121,298.0,844.0,1026.0,PP_RS11010,,YgdI/YgdR family lipoprotein,CDS,222
PP_2122,33.0,124.0,83.0,PP_RS11015,moaB,molybdenum cofactor biosynthesis protein B,CDS,540
PP_2123,8.0,37.0,39.0,PP_RS11020,glp,gephyrin-like molybdotransferase Glp,CDS,1227
PP_2124,32.0,32.0,19.0,PP_RS11025,,glycosyltransferase family 4 protein,CDS,1248
PP_2125,11.0,39.0,16.0,PP_RS11030,yegS,lipid kinase YegS,CDS,888
PP_2126,1.0,7.0,10.0,PP_RS11035,,response regulator transcription factor,CDS,660
PP_2127,2.0,9.0,1.0,PP_RS11040,,sensor histidine kinase,CDS,897
PP_5503,21.0,13.0,12.0,PP_RS11045,,hypothetical protein,CDS,510
PP_2128,46.0,195.0,217.0,PP_RS11050,,chemotaxis protein CheV,CDS,936
PP_2129,39.0,173.0,186.0,PP_RS11055,,MOSC domain-containing protein,CDS,804
PP_0208,3.0,6.0,11.0,PP_RS01115,,ABC transporter permease,CDS,783
PP_2130,101.0,352.0,363.0,PP_RS11060,,transglycosylase SLT domain-containing protein,CDS,1926
PP_2131,41.0,146.0,166.0,PP_RS11065,,ATP-binding cassette domain-containing protein,CDS,1929
PP_2132,129.0,430.0,463.0,PP_RS11070,,universal stress protein,CDS,441
PP_2133,8.0,16.0,9.0,PP_RS11075,,hypothetical protein,CDS,438
PP_2134,59.0,60.0,70.0,PP_RS11080,,IS110-like element ISPpu10 family transposase,CDS,966
PP_2136,86.0,237.0,300.0,PP_RS11085,fadB,fatty acid oxidation complex subunit alpha FadB,CDS,2148
PP_2137,49.0,194.0,144.0,PP_RS11090,fadA,acetyl-CoA C-acyltransferase FadA,CDS,1176
PP_2138,10.0,36.0,57.0,PP_RS11095,,DUF1653 domain-containing protein,CDS,252
PP_2139,150.0,528.0,800.0,PP_RS11100,topA,type I DNA topoisomerase,CDS,2610
PP_2140,27.0,120.0,115.0,PP_RS11105,,DUF6586 family protein,CDS,516
PP_0209,9.0,7.0,6.0,PP_RS01120,,ABC transporter ATP-binding protein,CDS,852
PP_2141,17.0,80.0,80.0,PP_RS11110,,hypothetical protein,CDS,234
PP_2142,7.0,54.0,47.0,PP_RS11115,sulA,SOS-induced cell division inhibitor SulA,CDS,477
PP_2143,52.0,204.0,136.0,PP_RS11120,lexA,transcriptional repressor LexA,CDS,609
PP_2144,38.0,132.0,115.0,PP_RS11125,,TetR/AcrR family transcriptional regulator,CDS,708
PP_2145,18.0,61.0,58.0,PP_RS11130,nagZ,beta-N-acetylhexosaminidase,CDS,999
PP_2146,56.0,175.0,135.0,PP_RS11135,,DEAD/DEAH box helicase,CDS,3318
PP_2147,4.0,51.0,39.0,PP_RS11140,,peptidoglycan binding protein CsiV,CDS,573
PP_2148,66.0,246.0,180.0,PP_RS11145,mfd,transcription-repair coupling factor,CDS,3450
PP_2149,157.0,577.0,686.0,PP_RS11150,,glyceraldehyde-3-phosphate dehydrogenase,CDS,1464
PP_2150,12.0,20.0,28.0,PP_RS11155,,FAD:protein FMN transferase,CDS,999
PP_0210,6.0,3.0,8.0,PP_RS01125,,HEAT repeat domain-containing protein,CDS,966
PP_2151,84.0,240.0,286.0,PP_RS11160,sthA,Si-specific NAD(P)(+) transhydrogenase,CDS,1395
PP_2152,60.0,108.0,136.0,PP_RS11165,,glycerophosphodiester phosphodiesterase family protein,CDS,717
PP_2153,54.0,133.0,99.0,PP_RS11170,,PilZ domain-containing protein,CDS,585
PP_2154,80.0,167.0,159.0,PP_RS11175,,lipoprotein-releasing ABC transporter permease subunit,CDS,1251
PP_2155,7.0,14.0,13.0,PP_RS11180,lolD,lipoprotein-releasing ABC transporter ATP-binding protein LolD,CDS,684
PP_2156,48.0,93.0,71.0,PP_RS11185,,lipoprotein-releasing ABC transporter permease subunit,CDS,1242
PP_2157,5.0,23.0,21.0,PP_RS11190,cinS,two-component system sensor histidine kinase CinS,CDS,1353
PP_2158,6.0,16.0,5.0,PP_RS11195,cinR,two-component system response regulator CinR,CDS,681
PP_2159,18.0,39.0,24.0,PP_RS11200,,plastocyanin/azurin family copper-binding protein,CDS,528
PP_2160,49.0,163.0,163.0,PP_RS11205,queF,NADPH-dependent 7-cyano-7-deazaguanine reductase QueF,CDS,831
PP_0211,0.0,7.0,12.0,PP_RS01130,,gamma-butyrobetaine hydroxylase-like domain-containing protein,CDS,282
PP_2161,262.0,584.0,588.0,PP_RS11210,,DUF4404 family protein,CDS,264
PP_2162,9.0,5.0,10.0,PP_RS11215,,hypothetical protein,CDS,564
PP_2163,50.0,250.0,223.0,PP_RS11220,,VacJ family lipoprotein,CDS,708
PP_2164,7.0,55.0,44.0,PP_RS11225,,PilZ domain-containing protein,CDS,300
PP_2165,57.0,271.0,262.0,PP_RS11230,rssB,two-component system response regulator RssB,CDS,1182
PP_2166,79.0,90.0,75.0,PP_RS11235,rssC,anti-sigma factor antagonist RssC,CDS,483
PP_2167,23.0,63.0,48.0,PP_RS11240,,alkaline phosphatase D family protein,CDS,1851
