,PPutida_1,PPutida_2,PPutida_4,locus_tag,name,description,type,length
PP_1910,119013,104441,39024,PP_RS09840,,YceD family protein,CDS,528
PP_1911,41240,39403,19914,PP_RS09845,rpmF,50S ribosomal protein L32,CDS,183
PP_1912,23508,19955,12136,PP_RS09850,plsX,phosphate acyltransferase PlsX,CDS,1011
PP_1913,12180,11284,7552,PP_RS09855,fabD,ACP S-malonyltransferase,CDS,939
PP_1914,11607,10206,5341,PP_RS09860,fabG,3-oxoacyl-ACP reductase FabG,CDS,741
PP_1915,25214,21416,11221,PP_RS09865,acpP,acyl carrier protein,CDS,237
PP_0186,9424,10045,4804,PP_RS00995,hemC,hydroxymethylbilane synthase,CDS,942
PP_1916,25574,22588,12301,PP_RS09870,fabF,beta-ketoacyl-ACP synthase II,CDS,1245
PP_1917,2112,1573,1059,PP_RS09875,pabC,aminodeoxychorismate lyase,CDS,816
PP_1918,4796,4902,2363,PP_RS09880,mltG,endolytic transglycosylase MltG,CDS,1236
PP_5482,4496,5055,2153,PP_RS09890,,hypothetical protein,CDS,1014
PP_1920,1471,1791,811,PP_RS09895,,HEPN/Toprim-associated domain-containing protein,CDS,1221
PP_5483,462,511,163,PP_RS09900,,DUF4145 domain-containing protein,CDS,552
PP_1921,8892,13700,4645,PP_RS09905,,hypothetical protein,CDS,1164
PP_1922,2958,3584,901,PP_RS09910,,DUF2726 domain-containing protein,CDS,849
PP_1923,1451,1830,759,PP_RS09915,,hypothetical protein,CDS,789
PP_0002,14569,14792,6773,PP_RS00010,,ParA family protein,CDS,792
PP_0019,12040,11418,6186,PP_RS00100,,transcriptional regulator,CDS,684
PP_0187,3480,3141,2040,PP_RS01000,,uroporphyrinogen-III synthase,CDS,768
PP_5484,1891,2045,670,PP_RS09920,,hypothetical protein,CDS,807
PP_1924,635,627,308,PP_RS09925,,arsinothricin resistance N-acetyltransferase ArsN1 family B,CDS,561
PP_1925,1953,1980,1416,PP_RS09930,,ArsO family NAD(P)H-dependent flavin-containing monooxygenase,CDS,1083
PP_1926,642,567,389,PP_RS09935,,cyclin-dependent kinase inhibitor 3 family protein,CDS,504
PP_1927,686,705,472,PP_RS09940,arsH,arsenical resistance protein ArsH,CDS,714
PP_1928,335,293,120,PP_RS09945,,arsenate reductase ArsC,CDS,471
PP_1929,579,824,405,PP_RS09950,arsB,arsenical efflux pump membrane protein ArsB,CDS,1284
PP_1930,332,287,163,PP_RS09955,,metalloregulator ArsR/SmtB family transcription factor,CDS,357
PP_5485,1469,2123,917,PP_RS09960,arsN2,arsenic resistance N-acetyltransferase ArsN2,CDS,495
PP_1931,2602,3274,1657,PP_RS09965,,IS1182-like element ISPpu16 family transposase,CDS,1437
PP_0188,7920,7664,4225,PP_RS01005,,uroporphyrinogen-III C-methyltransferase,CDS,1101
PP_1932,1772,2273,825,PP_RS09970,,DUF2321 domain-containing protein,CDS,750
PP_1934,694,933,334,PP_RS09975,,hypothetical protein,CDS,633
PP_1935,79,80,22,PP_RS09980,,helix-turn-helix domain-containing protein,CDS,282
PP_5487,1619,1565,844,PP_RS09985,,hypothetical protein,CDS,393
PP_5488,6814,7240,2690,PP_RS09990,,hypothetical protein,CDS,660
PP_5489,9497,14620,5470,PP_RS09995,,hypothetical protein,CDS,498
PP_5490,6810,7639,4352,PP_RS10000,,recombinase family protein,CDS,567
PP_1936,4017,5950,1665,PP_RS10005,,KAP family NTPase,CDS,2937
PP_5491,3761,6222,1701,PP_RS10010,,SEC-C metal-binding domain-containing protein,CDS,915
PP_5492,4726,10962,2090,PP_RS10015,,hypothetical protein,CDS,393
PP_0189,3314,2561,2160,PP_RS01010,,heme biosynthesis protein HemY,CDS,1239
PP_1937,3022,4304,1653,PP_RS10020,,SNF2-related protein,CDS,3258
PP_1938,2172,3133,906,PP_RS10025,,hypothetical protein,CDS,288
PP_1939,74,100,60,PP_RS10030,,"formaldehyde dehydrogenase, glutathione-independent",CDS,162
PP_1940,1572,2295,740,PP_RS10035,,methyl-accepting chemotaxis protein,CDS,2151
PP_1941,2792,3324,977,PP_RS10040,,TetR/AcrR family transcriptional regulator,CDS,603
PP_1942,7607,9981,2887,PP_RS10045,,LysR family transcriptional regulator,CDS,963
PP_1943,780,1148,345,PP_RS10050,purU,formyltetrahydrofolate deformylase,CDS,864
PP_1944,1050,1210,501,PP_RS10055,,aminomethyltransferase family protein,CDS,1278
PP_1945,574,630,403,PP_RS10060,folD,bifunctional methylenetetrahydrofolate dehydrogenase/methenyltetrahydrofolate cyclohydrolase FolD,CDS,876
PP_1946,540,687,340,PP_RS10065,,glucose 1-dehydrogenase,CDS,789
PP_0190,615,741,302,PP_RS01015,,disulfide bond formation protein B,CDS,507
PP_1947,123,122,61,PP_RS10070,,aminopeptidase,CDS,990
PP_1948,442,486,210,PP_RS10075,,aldehyde dehydrogenase,CDS,1428
PP_1949,527,946,301,PP_RS10080,,GMC family oxidoreductase,CDS,1635
PP_1950,838,1114,344,PP_RS10085,,cytochrome P450,CDS,1179
PP_1951,511,511,271,PP_RS10090,,SDR family NAD(P)-dependent oxidoreductase,CDS,828
PP_1952,459,521,285,PP_RS10095,,MBL fold metallo-hydrolase,CDS,927
PP_1953,1099,1815,574,PP_RS10100,,SDR family NAD(P)-dependent oxidoreductase,CDS,840
PP_1954,913,1386,473,PP_RS10105,,serine hydrolase,CDS,1167
PP_1955,537,896,260,PP_RS10110,,cytochrome P450,CDS,1236
PP_1956,721,1104,354,PP_RS10115,,transporter,CDS,969
PP_0191,9787,12953,5712,PP_RS01020,,Rsd/AlgQ family anti-sigma factor,CDS,471
PP_1957,752,990,503,PP_RS10120,,PDR/VanB family oxidoreductase,CDS,954
PP_5493,566,429,203,PP_RS10125,,hypothetical protein,CDS,294
PP_5494,1378,1606,720,PP_RS10130,,hypothetical protein,CDS,471
PP_1958,3119,3784,1348,PP_RS10135,,DUF2026 domain-containing protein,CDS,645
PP_5495,5345,7792,2288,PP_RS10140,,hypothetical protein,CDS,438
PP_1959,5325,7179,3338,PP_RS10145,,hypothetical protein,CDS,1161
PP_1960,15974,21220,7120,PP_RS10150,,site-specific integrase,CDS,1323
PP_1961,9768,13845,5776,PP_RS10155,,TetR/AcrR family transcriptional regulator,CDS,990
PP_1962,18623,20503,7980,PP_RS10160,,tyrosine-type recombinase/integrase,CDS,2019
PP_1963,46184,65959,19603,PP_RS10165,,hypothetical protein,CDS,1965
PP_0192,3842,3926,1662,PP_RS01025,,FKBP-type peptidyl-prolyl cis-trans isomerase,CDS,639
PP_1964,56024,88616,36037,PP_RS10170,,deoxynucleotide monophosphate kinase,CDS,804
PP_1966,6875,6861,3711,PP_RS10180,,DNA polymerase III subunit delta',CDS,987
PP_1967,8699,12001,6714,PP_RS10185,,TatD family hydrolase,CDS,783
PP_1968,16131,16789,8051,PP_RS10190,,TetR/AcrR family transcriptional regulator,CDS,636
PP_1969,4332,4708,1919,PP_RS10195,,"GTP 3',8-cyclase MoaA",CDS,969
PP_1970,1619,2134,1425,PP_RS10200,,DUF4823 domain-containing protein,CDS,606
PP_1971,2070,2317,1336,PP_RS10205,,DUF1285 domain-containing protein,CDS,561
PP_1972,36613,42444,15875,PP_RS10215,,amino acid aminotransferase,CDS,1197
PP_0194,12402,12900,4751,PP_RS01030,,AlgP family protein,CDS,990
PP_1974,6258,6432,3291,PP_RS10220,uvrB,excinuclease ABC subunit UvrB,CDS,2016
PP_1975,459,523,213,PP_RS10225,,MDR family MFS transporter,CDS,1491
PP_1976,362,422,211,PP_RS10230,,HlyD family secretion protein,CDS,1056
PP_1977,20308,20389,9893,PP_RS10235,gltX,glutamate--tRNA ligase,CDS,1482
PP_0195,2953,3023,2566,PP_RS01035,,TIGR02444 family protein,CDS,480
PP_1978,478,517,343,PP_RS10270,,TetR/AcrR family transcriptional regulator,CDS,540
PP_1979,977,932,450,PP_RS10275,,alpha/beta fold hydrolase,CDS,882
PP_1980,2807,3099,1178,PP_RS10280,,thioesterase family protein,CDS,435
PP_1981,5697,5422,2571,PP_RS10285,,tRNA dihydrouridine(16) synthase DusC,CDS,972
PP_1982,17377,20791,7722,PP_RS10290,,Hsp20 family protein,CDS,444
PP_1983,4901,4895,3077,PP_RS10295,,bifunctional diguanylate cyclase/phosphodiesterase,CDS,3297
PP_1984,1765,1922,1062,PP_RS10300,,LysR family transcriptional regulator,CDS,879
PP_1985,10104,11216,6034,PP_RS10305,leuC,3-isopropylmalate dehydratase large subunit,CDS,1434
PP_1986,4615,4637,2134,PP_RS10310,leuD,3-isopropylmalate dehydratase small subunit,CDS,645
PP_1987,2721,2833,1332,PP_RS10315,,class I SAM-dependent methyltransferase,CDS,765
PP_0196,8545,8762,4513,PP_RS01040,,ATP-binding cassette domain-containing protein,CDS,1911
PP_1988,11932,11640,6727,PP_RS10320,leuB,3-isopropylmalate dehydrogenase,CDS,1083
PP_1989,18734,19122,10196,PP_RS10325,asd,aspartate-semialdehyde dehydrogenase,CDS,1113
PP_1990,3297,3636,1622,PP_RS10330,,IS4-like element ISPpu8 family transposase,CDS,1302
PP_1992,5033,4975,2212,PP_RS10335,,aspartate-semialdehyde dehydrogenase,CDS,1005
PP_1993,16241,16934,9697,PP_RS10340,,FimV/HubP family polar landmark protein,CDS,2736
PP_1994,3227,3291,1384,PP_RS10345,truA,tRNA pseudouridine(38-40) synthase TruA,CDS,861
PP_1995,8902,7515,4155,PP_RS10350,,phosphoribosylanthranilate isomerase,CDS,621
PP_1996,23014,19512,10663,PP_RS10355,accD,"acetyl-CoA carboxylase, carboxyltransferase subunit beta",CDS,894
PP_1997,9243,7009,5092,PP_RS10360,folC,bifunctional tetrahydrofolate synthase/dihydrofolate synthase,CDS,1308
PP_1998,997,765,503,PP_RS10365,,SPOR domain-containing protein,CDS,645
PP_0197,3032,2699,1652,PP_RS01045,,mechanosensitive ion channel family protein,CDS,588
PP_1999,15302,18731,6583,PP_RS10370,,CvpA family protein,CDS,558
PP_2000,54142,52724,25503,PP_RS10375,purF,amidophosphoribosyltransferase,CDS,1506
PP_2001,14944,12592,8968,PP_RS10380,,O-succinylhomoserine sulfhydrylase,CDS,1212
PP_2002,3064,2227,1793,PP_RS10385,,SDR family oxidoreductase,CDS,774
PP_2003,5526,6018,3151,PP_RS10410,,DUF2242 domain-containing protein,CDS,825
PP_2004,1859,2074,1144,PP_RS10415,,AraC family transcriptional regulator,CDS,1041
PP_0020,10757,13175,5600,PP_RS28370,,hypothetical protein,CDS,870
PP_0198,1694,1243,812,PP_RS01050,,LysE family transporter,CDS,633
PP_2005,3263,3658,1800,PP_RS10420,,nitrilase-related carbon-nitrogen hydrolase,CDS,1119
PP_2006,3541,4512,2697,PP_RS10425,,TULIP family P47-like protein,CDS,1644
PP_2007,1208,1960,932,PP_RS10430,,TULIP family P47-like protein,CDS,1233
PP_2008,2036,2219,1347,PP_RS10435,,"NADPH-dependent 2,4-dienoyl-CoA reductase",CDS,2037
PP_2009,1664,1848,978,PP_RS10440,,1-aminocyclopropane-1-carboxylate deaminase/D-cysteine desulfhydrase,CDS,894
PP_2010,4674,5026,1981,PP_RS10445,,cytochrome b,CDS,546
PP_2011,639,722,448,PP_RS10450,,DUF1853 family protein,CDS,1023
PP_2012,11264,12824,4853,PP_RS10455,,NAD(+) kinase,CDS,891
PP_2013,7095,7525,3065,PP_RS10460,,metallophosphoesterase,CDS,972
PP_2014,3421,3002,1831,PP_RS10465,,rhomboid family intramembrane serine protease,CDS,888
PP_0199,490,461,227,PP_RS01055,,slipin family protein,CDS,753
PP_2015,2848,2833,1102,PP_RS10470,,YeaC family protein,CDS,261
PP_2016,4982,5772,2839,PP_RS10475,,DUF2797 domain-containing protein,CDS,831
PP_2017,18364,16650,8972,PP_RS10480,pepN,aminopeptidase N,CDS,2658
PP_2018,1222,1200,708,PP_RS10485,,YCF48-related protein,CDS,1041
PP_2019,5109,4651,2127,PP_RS10490,,RND family transporter,CDS,2376
PP_2020,2186,2237,1003,PP_RS10495,,DUF5629 family protein,CDS,291
PP_2021,5194,7097,2483,PP_RS10500,,lactonase family protein,CDS,1131
PP_5496,214,135,77,PP_RS28295,,hypothetical protein,CDS,177
PP_2023,380,427,173,PP_RS10505,,glutathione S-transferase,CDS,594
PP_2024,4104,3329,2221,PP_RS10510,,AAA family ATPase,CDS,3645
PP_0200,800,905,320,PP_RS01060,,nodulation protein NfeD,CDS,1347
PP_2025,7946,10005,3864,PP_RS10515,,exonuclease SbcCD subunit D C-terminal domain-containing protein,CDS,1239
PP_2026,596,543,260,PP_RS10525,,hypothetical protein,CDS,267
PP_2027,462,428,262,PP_RS10530,,BatD family protein,CDS,1632
PP_2028,419,420,228,PP_RS10535,,tetratricopeptide repeat protein,CDS,1719
PP_2029,381,261,159,PP_RS10540,,VWA domain-containing protein,CDS,1077
PP_2030,208,238,116,PP_RS10545,,DUF4381 domain-containing protein,CDS,495
PP_2031,1461,1661,728,PP_RS10550,,DUF58 domain-containing protein,CDS,945
PP_2032,5418,6302,2318,PP_RS10555,,MoxR family ATPase,CDS,960
PP_2033,454,493,268,PP_RS10560,,DUF2235 domain-containing protein,CDS,1311
PP_0201,3681,3734,2132,PP_RS01065,,aminoacyl-tRNA deacylase,CDS,459
PP_2034,262,267,132,PP_RS10565,,MFS transporter,CDS,1218
PP_2035,272,278,256,PP_RS10570,,benzoate/H(+) symporter BenE family transporter,CDS,1215
PP_2036,506,1153,448,PP_RS10575,,dihydrodipicolinate synthase family protein,CDS,888
PP_2037,386,604,455,PP_RS10580,,aldolase,CDS,783
PP_2038,321,287,158,PP_RS10585,,AMP-binding protein,CDS,1548
PP_2039,755,766,372,PP_RS10590,,acyl-CoA dehydrogenase family protein,CDS,1167
PP_2040,504,528,311,PP_RS10595,,MFS transporter,CDS,1254
PP_2041,1267,1592,482,PP_RS10600,,LysR family transcriptional regulator,CDS,945
PP_2042,200,170,109,PP_RS10605,,DUF1302 domain-containing protein,CDS,1854
PP_2043,346,290,171,PP_RS10610,,DUF1329 domain-containing protein,CDS,1311
PP_5432,2930,3899,1604,PP_RS01070,,DUF2789 domain-containing protein,CDS,243
PP_2044,58,113,34,PP_RS10615,,YidH family protein,CDS,387
PP_5499,13,6,11,PP_RS10620,,DUF202 domain-containing protein,CDS,294
PP_2045,479,450,235,PP_RS10625,,alkyl/aryl-sulfatase,CDS,1962
PP_2046,611,835,354,PP_RS10630,,LysR family transcriptional regulator,CDS,924
PP_2047,141,112,101,PP_RS10635,,3-hydroxyacyl-CoA dehydrogenase,CDS,1239
PP_2048,477,520,310,PP_RS10640,,acyl-CoA dehydrogenase C-terminal domain-containing protein,CDS,1776
PP_2049,247,276,121,PP_RS10645,,iron-containing alcohol dehydrogenase,CDS,1164
PP_2050,126,235,53,PP_RS10650,,thioesterase family protein,CDS,453
PP_2051,258,265,201,PP_RS10655,,acetyl-CoA C-acyltransferase,CDS,1185
PP_2052,5452,5320,2459,PP_RS10660,,bifunctional mannitol-1-phosphate dehydrogenase/phosphatase,CDS,2124
PP_5433,2004,2120,1198,PP_RS01075,,hypothetical protein,CDS,639
PP_2053,2643,2861,883,PP_RS10665,,DUF3144 domain-containing protein,CDS,297
PP_2054,2162,2037,1216,PP_RS10670,,LysR family transcriptional regulator,CDS,894
PP_2055,437,392,270,PP_RS10675,,4-oxalomesaconate tautomerase,CDS,1080
PP_2056,475,470,216,PP_RS10680,,dicarboxylate/amino acid:cation symporter,CDS,1308
PP_2057,260,295,134,PP_RS10685,,CitMHS family transporter,CDS,1305
PP_2058,417,448,191,PP_RS10690,,OprD family porin,CDS,1254
PP_2059,570,713,264,PP_RS10695,,CsbD family protein,CDS,249
PP_2060,151,74,81,PP_RS10700,soxR,redox-sensitive transcriptional activator SoxR,CDS,456
PP_2062,232,257,109,PP_RS10710,,RHS repeat-associated core domain-containing protein,CDS,591
PP_0202,3655,4479,1537,PP_RS01080,,CBS domain-containing protein,CDS,438
PP_5501,2061,2945,965,PP_RS10715,,RHS repeat-associated core domain-containing protein,CDS,948
PP_2064,329,390,208,PP_RS10720,,efflux RND transporter periplasmic adaptor subunit,CDS,1098
PP_2065,675,638,307,PP_RS10725,,MexW/MexI family multidrug efflux RND transporter permease subunit,CDS,3084
PP_2066,841,808,414,PP_RS10730,,GntR family transcriptional regulator,CDS,738
PP_2067,81,71,40,PP_RS10735,,DHA2 family efflux MFS transporter permease subunit,CDS,1515
PP_2068,137,99,100,PP_RS10740,,HlyD family secretion protein,CDS,1146
PP_2069,340,236,166,PP_RS10745,,efflux transporter outer membrane subunit,CDS,1419
PP_2070,167,151,146,PP_RS10750,,helix-turn-helix transcriptional regulator,CDS,711
PP_2071,195,220,57,PP_RS10755,,cupin domain-containing protein,CDS,387
PP_2072,662,929,307,PP_RS10760,,AraC family transcriptional regulator,CDS,825
PP_0203,4844,6469,3061,PP_RS01085,,dipeptidase,CDS,1731
PP_2073,1953,2307,879,PP_RS10765,,acetyltransferase,CDS,444
PP_2074,967,822,496,PP_RS10770,,LysR family transcriptional regulator,CDS,969
PP_2075,872,1152,386,PP_RS10775,,DUF6708 domain-containing protein,CDS,1131
PP_2076,370,509,252,PP_RS10780,,T6SS effector BTH_I2691 family protein,CDS,2673
PP_2077,322,343,229,PP_RS10785,lysA,diaminopimelate decarboxylase,CDS,1233
PP_2078,614,651,292,PP_RS10790,,LysR family transcriptional regulator,CDS,906
PP_2079,899,813,615,PP_RS10795,,hypothetical protein,CDS,354
PP_2080,22309,26419,12755,PP_RS10800,,NAD-glutamate dehydrogenase,CDS,4866
PP_2081,7789,10086,1985,PP_RS10805,,"pyruvate, water dikinase regulatory protein",CDS,819
PP_2082,78143,78498,38193,PP_RS10810,ppsA,phosphoenolpyruvate synthase,CDS,2376
PP_2083,2623,2362,1438,PP_RS10815,,alpha/beta fold hydrolase,CDS,993
PP_2084,8220,9098,3814,PP_RS10820,rraA,ribonuclease E activity regulator RraA,CDS,492
PP_2085,5722,5911,2971,PP_RS10825,,zinc transporter ZntB,CDS,996
PP_2086,7150,10455,3229,PP_RS10830,,hypothetical protein,CDS,273
PP_2087,12130,10920,6283,PP_RS10835,,mechanosensitive ion channel domain-containing protein,CDS,825
PP_2088,8864,9998,3834,PP_RS10840,sigX,RNA polymerase sigma factor SigX,CDS,567
PP_2089,255535,262094,109017,PP_RS10845,,OmpA family protein,CDS,1035
PP_2090,90,112,44,PP_RS10850,cobA,uroporphyrinogen-III C-methyltransferase,CDS,741
PP_2091,172,123,121,PP_RS10855,,bifunctional protein-serine/threonine kinase/phosphatase,CDS,1671
PP_2092,125,136,56,PP_RS10860,,NarK/NasA family nitrate transporter,CDS,1212
PP_0204,416,608,313,PP_RS01095,,GntR family transcriptional regulator,CDS,750
PP_2093,361,328,223,PP_RS10865,,ANTAR domain-containing response regulator,CDS,576
PP_2094,511,596,331,PP_RS10870,,CmpA/NrtA family ABC transporter substrate-binding protein,CDS,1215
PP_2095,18748,25069,13697,PP_RS10875,,quinone-dependent dihydroorotate dehydrogenase,CDS,1023
PP_5502,28396,31949,8724,PP_RS10880,,ribosome modulation factor,CDS,216
PP_2096,14349,15119,8381,PP_RS10885,rlmKL,bifunctional 23S rRNA (guanine(2069)-N(7))-methyltransferase RlmK/23S rRNA (guanine(2445)-N(2))-methyltransferase RlmL,CDS,2193
PP_2097,2312,2379,1501,PP_RS10890,,diguanylate cyclase,CDS,2403
PP_2098,5698,5951,3333,PP_RS10895,dacB,D-alanyl-D-alanine carboxypeptidase/D-alanyl-D-alanine-endopeptidase,CDS,1455
PP_2099,16277,14215,6849,PP_RS10900,,YggL family protein,CDS,345
PP_2100,701,626,331,PP_RS10905,,ATP-binding protein,CDS,3630
PP_2101,110,142,54,PP_RS10910,,response regulator transcription factor,CDS,618
PP_0021,1391,1602,606,PP_RS00110,,hypothetical protein,CDS,924
PP_0205,1544,1590,831,PP_RS01100,,fumarate reductase/succinate dehydrogenase flavoprotein subunit,CDS,1725
PP_2102,3226,3277,1650,PP_RS10915,,deoxyguanosinetriphosphate triphosphohydrolase,CDS,1332
PP_2103,767,572,422,PP_RS10920,,hypothetical protein,CDS,330
PP_2104,2923,2673,1624,PP_RS10925,,phage holin family protein,CDS,375
PP_2105,6686,8088,4411,PP_RS10930,,YqjD family protein,CDS,315
PP_2106,1498,2272,827,PP_RS10935,,ammonium transporter,CDS,1209
PP_2107,3953,4907,1582,PP_RS10940,,glutaredoxin family protein,CDS,240
PP_2108,730,868,402,PP_RS10945,,D-Ala-D-Ala carboxypeptidase family metallohydrolase,CDS,432
PP_2109,1459,1596,624,PP_RS10950,,hypothetical protein,CDS,309
PP_2110,2136,2221,1241,PP_RS10955,,pseudouridine synthase,CDS,885
PP_2111,8999,10115,5220,PP_RS10960,,PAS domain-containing methyl-accepting chemotaxis protein,CDS,1566
PP_0206,50,67,38,PP_RS01105,,ferredoxin family protein,CDS,246
PP_2112,6539,7111,4045,PP_RS10965,acnA,aconitate hydratase AcnA,CDS,2742
PP_2113,2409,2172,1054,PP_RS10970,rlmM,23S rRNA (cytidine(2498)-2'-O)-methyltransferase RlmM,CDS,1065
PP_2114,3345,3657,1639,PP_RS10975,,IS4-like element ISPpu8 family transposase,CDS,1302
PP_2115,1521,3310,1092,PP_RS10980,,hypothetical protein,CDS,198
PP_2116,1205,916,507,PP_RS10985,tusA,sulfurtransferase TusA,CDS,243
PP_2117,4054,3687,1990,PP_RS10990,pdxB,4-phosphoerythronate dehydrogenase PdxB,CDS,1143
PP_2118,2865,3459,742,PP_RS28300,,PA1571 family protein,CDS,174
PP_2119,1543,1637,854,PP_RS10995,,ABC transporter transmembrane domain-containing protein,CDS,1764
PP_2120,1161,1217,643,PP_RS11000,,methyl-accepting chemotaxis protein,CDS,1617
PP_0207,406,404,228,PP_RS01110,,ABC transporter substrate-binding protein,CDS,1407
PP_2121,30464,32333,8448,PP_RS11010,,YgdI/YgdR family lipoprotein,CDS,222
PP_2122,4582,4885,2269,PP_RS11015,moaB,molybdenum cofactor biosynthesis protein B,CDS,540
PP_2123,2931,2389,1167,PP_RS11020,glp,gephyrin-like molybdotransferase Glp,CDS,1227
PP_2124,1311,1509,750,PP_RS11025,,glycosyltransferase family 4 protein,CDS,1248
PP_2125,431,410,197,PP_RS11030,yegS,lipid kinase YegS,CDS,888
PP_2126,757,874,390,PP_RS11035,,response regulator transcription factor,CDS,660
PP_2127,427,379,255,PP_RS11040,,sensor histidine kinase,CDS,897
PP_5503,254,224,114,PP_RS11045,,hypothetical protein,CDS,510
PP_2128,9936,11483,5828,PP_RS11050,,chemotaxis protein CheV,CDS,936
PP_2129,5174,5267,3204,PP_RS11055,,MOSC domain-containing protein,CDS,804
PP_0208,125,153,78,PP_RS01115,,ABC transporter permease,CDS,783
PP_2130,6012,6290,3626,PP_RS11060,,transglycosylase SLT domain-containing protein,CDS,1926
PP_2131,17387,15578,10077,PP_RS11065,,ATP-binding cassette domain-containing protein,CDS,1929
PP_2132,17819,20020,9224,PP_RS11070,,universal stress protein,CDS,441
PP_2133,776,849,622,PP_RS11075,,hypothetical protein,CDS,438
PP_2134,1749,2244,894,PP_RS11080,,IS110-like element ISPpu10 family transposase,CDS,966
PP_2136,16368,18473,8893,PP_RS11085,fadB,fatty acid oxidation complex subunit alpha FadB,CDS,2148
PP_2137,10352,9765,5653,PP_RS11090,fadA,acetyl-CoA C-acyltransferase FadA,CDS,1176
PP_2138,2727,2776,845,PP_RS11095,,DUF1653 domain-containing protein,CDS,252
PP_2139,24179,21431,11330,PP_RS11100,topA,type I DNA topoisomerase,CDS,2610
PP_2140,7866,9684,3715,PP_RS11105,,DUF6586 family protein,CDS,516
PP_0209,150,134,114,PP_RS01120,,ABC transporter ATP-binding protein,CDS,852
PP_2141,9896,10205,6402,PP_RS11110,,hypothetical protein,CDS,234
PP_2142,3189,3028,1779,PP_RS11115,sulA,SOS-induced cell division inhibitor SulA,CDS,477
PP_2143,6617,6846,3027,PP_RS11120,lexA,transcriptional repressor LexA,CDS,609
PP_2144,10759,13406,4531,PP_RS11125,,TetR/AcrR family transcriptional regulator,CDS,708
PP_2145,5710,5604,4151,PP_RS11130,nagZ,beta-N-acetylhexosaminidase,CDS,999
PP_2146,3391,3037,1692,PP_RS11135,,DEAD/DEAH box helicase,CDS,3318
PP_2147,826,799,803,PP_RS11140,,peptidoglycan binding protein CsiV,CDS,573
PP_2148,12992,12548,7507,PP_RS11145,mfd,transcription-repair coupling factor,CDS,3450
PP_2149,73471,88807,29130,PP_RS11150,,glyceraldehyde-3-phosphate dehydrogenase,CDS,1464
PP_2150,749,784,463,PP_RS11155,,FAD:protein FMN transferase,CDS,999
PP_0210,85,93,50,PP_RS01125,,HEAT repeat domain-containing protein,CDS,966
PP_2151,26780,26609,10257,PP_RS11160,sthA,Si-specific NAD(P)(+) transhydrogenase,CDS,1395
PP_2152,3565,3079,2392,PP_RS11165,,glycerophosphodiester phosphodiesterase family protein,CDS,717
PP_2153,2407,3419,1168,PP_RS11170,,PilZ domain-containing protein,CDS,585
PP_2154,12571,22306,7284,PP_RS11175,,lipoprotein-releasing ABC transporter permease subunit,CDS,1251
PP_2155,1507,1247,817,PP_RS11180,lolD,lipoprotein-releasing ABC transporter ATP-binding protein LolD,CDS,684
PP_2156,3449,3304,1534,PP_RS11185,,lipoprotein-releasing ABC transporter permease subunit,CDS,1242
PP_2157,1801,1820,862,PP_RS11190,cinS,two-component system sensor histidine kinase CinS,CDS,1353
PP_2158,1071,1194,632,PP_RS11195,cinR,two-component system response regulator CinR,CDS,681
PP_2159,546,604,287,PP_RS11200,,plastocyanin/azurin family copper-binding protein,CDS,528
PP_2160,10505,12343,5139,PP_RS11205,queF,NADPH-dependent 7-cyano-7-deazaguanine reductase QueF,CDS,831
PP_0211,63,132,47,PP_RS01130,,gamma-butyrobetaine hydroxylase-like domain-containing protein,CDS,282
PP_2161,9593,10051,5433,PP_RS11210,,DUF4404 family protein,CDS,264
PP_2162,314,274,168,PP_RS11215,,hypothetical protein,CDS,564
PP_2163,8991,11138,4834,PP_RS11220,,VacJ family lipoprotein,CDS,708
PP_2164,1906,2050,849,PP_RS11225,,PilZ domain-containing protein,CDS,300
PP_2165,8566,10188,4059,PP_RS11230,rssB,two-component system response regulator RssB,CDS,1182
PP_2166,9335,13129,3316,PP_RS11235,rssC,anti-sigma factor antagonist RssC,CDS,483
PP_2167,3157,3228,1291,PP_RS11240,,alkaline phosphatase D family protein,CDS,1851
PP_2168,17209,17259,6837,PP_RS11245,tal,transaldolase,CDS,927
PP_2169,5763,5351,3117,PP_RS11250,dusA,tRNA dihydrouridine(20/20a) synthase DusA,CDS,1011
PP_5434,34,51,21,PP_RS28825,,aryl-sulfate sulfotransferase,CDS,181
PP_2171,1559,2188,827,PP_RS11260,,LysE family translocator,CDS,627
PP_2172,2042,2000,830,PP_RS11270,,hypothetical protein,CDS,444
PP_2173,1531,1899,628,PP_RS11275,,GyrI-like domain-containing protein,CDS,840
PP_2174,605,771,350,PP_RS11280,,GFA family protein,CDS,393
PP_2175,754,742,412,PP_RS11285,,SDR family oxidoreductase,CDS,705
PP_2176,924,1148,535,PP_RS11290,,LysR substrate-binding domain-containing protein,CDS,894
PP_2177,58,113,42,PP_RS11295,,helix-turn-helix domain-containing protein,CDS,555
PP_2178,316,393,258,PP_RS11300,,glutamine synthetase family protein,CDS,1347
PP_0213,23280,21255,10355,PP_RS01135,gabD,NADP-dependent succinate-semialdehyde dehydrogenase,CDS,1443
PP_2179,214,183,91,PP_RS11305,,gamma-glutamyl-gamma-aminobutyrate hydrolase family protein,CDS,774
PP_2180,454,411,252,PP_RS11310,,aspartate aminotransferase family protein,CDS,1359
PP_2181,1205,1164,592,PP_RS11315,,helix-turn-helix domain-containing protein,CDS,555
