,locus_tag,name,description,type,length,subsystem
PP_0796,PP_RS04225,,DUF3820 family protein,CDS,222.0,
PP_0797,PP_RS04230,,PA2169 family four-helix-bundle protein,CDS,477.0,
PP_0798,PP_RS04235,,sensor domain-containing diguanylate cyclase,CDS,1491.0,
PP_0799,PP_RS04240,,OprD family porin,CDS,1335.0,Metabolic:S_Transport__Outer_Membrane
PP_5458,PP_RS04245,,hypothetical protein,CDS,225.0,
PP_0800,PP_RS04250,,YkgJ family cysteine cluster protein,CDS,735.0,
PP_0801,PP_RS04255,,hypothetical protein,CDS,312.0,
PP_0802,PP_RS04260,,chemotaxis protein,CDS,900.0,
PP_0803,PP_RS04265,,HlyD family type I secretion periplasmic adaptor subunit,CDS,1185.0,
PP_0804,PP_RS04270,,type I secretion system permease/ATPase,CDS,2169.0,
PP_0805,PP_RS04275,,TolC family outer membrane protein,CDS,1437.0,
PP_0806,PP_RS04280,,BapA/Bap/LapF family large adhesin,CDS,18933.0,
PP_0807,PP_RS04285,norR,nitric oxide reductase transcriptional regulator NorR,CDS,1557.0,
PP_0808,PP_RS04290,hmpA,NO-inducible flavohemoprotein,CDS,1179.0,Metabolic:S_Nitrogen_Metabolism
PP_0809,PP_RS04295,,disulfide bond formation protein B,CDS,507.0,Metabolic:Unassigned
PP_0812,PP_RS04300,cyoA,ubiquinol oxidase subunit II,CDS,942.0,Metabolic:S_Oxidative_Phosphorylation
PP_0813,PP_RS04305,cyoB,cytochrome o ubiquinol oxidase subunit I,CDS,2019.0,Metabolic:S_Oxidative_Phosphorylation
PP_0814,PP_RS04310,cyoC,cytochrome o ubiquinol oxidase subunit III,CDS,624.0,Metabolic:S_Oxidative_Phosphorylation
PP_0815,PP_RS04315,cyoD,cytochrome o ubiquinol oxidase subunit IV,CDS,333.0,Metabolic:S_Oxidative_Phosphorylation
PP_0816,PP_RS04320,cyoE,heme o synthase,CDS,888.0,Metabolic:S_Cofactor_and_Prosthetic_Group_Biosynthesis__Porphyrin_and_Chlorophyll_Metabolism
PP_0817,PP_RS04325,alaC,alanine transaminase,CDS,1209.0,Metabolic:S_Alanine_and_Aspartate_Metabolism
PP_0818,PP_RS04330,,hypothetical protein,CDS,1128.0,
PP_0819,PP_RS04335,,YkgJ family cysteine cluster protein,CDS,384.0,
PP_0820,PP_RS04340,,GNAT family N-acetyltransferase,CDS,564.0,
PP_5460,PP_RS04345,,hypothetical protein,CDS,540.0,
PP_0821,PP_RS04350,,lysozyme inhibitor LprI family protein,CDS,387.0,
PP_0822,PP_RS04355,mnmH,tRNA 2-selenouridine(34) synthase MnmH,CDS,1113.0,
PP_0823,PP_RS04360,selD,"selenide, water dikinase SelD",CDS,1035.0,Metabolic:Unassigned
PP_0824,PP_RS04365,,putative selenate ABC transporter substrate-binding protein,CDS,855.0,Metabolic:S_Transport__ABC_system
PP_0825,PP_RS04370,,phosphonate ABC transporter ATP-binding protein,CDS,810.0,Metabolic:S_Transport__ABC_system
PP_0826,PP_RS04375,,ABC transporter permease,CDS,828.0,Metabolic:S_Transport__ABC_system
PP_0827,PP_RS04380,phnE,"phosphonate ABC transporter, permease protein PhnE",CDS,768.0,Metabolic:S_Transport__ABC_system
PP_0828,PP_RS04385,,bestrophin family protein,CDS,894.0,
PP_0829,PP_RS04390,,addiction module antidote protein,CDS,297.0,
PP_0830,PP_RS04395,,GNAT family N-acetyltransferase,CDS,480.0,
PP_0831,PP_RS04400,,trypsin-like peptidase domain-containing protein,CDS,648.0,
PP_t68,PP_RS04405,,tRNA-Leu,tRNA,85.0,Translation
PP_0832,PP_RS04410,queA,tRNA preQ1(34) S-adenosylmethionine ribosyltransferase-isomerase QueA,CDS,1050.0,Metabolic:S_Cofactor_and_Prosthetic_Group_Biosynthesis__Queuosine_biosynthesis
PP_0833,PP_RS04415,tgt,tRNA guanosine(34) transglycosylase Tgt,CDS,1116.0,Metabolic:S_Cofactor_and_Prosthetic_Group_Biosynthesis__Queuosine_biosynthesis
PP_0834,PP_RS04420,yajC,preprotein translocase subunit YajC,CDS,336.0,Post-translation
PP_0835,PP_RS04425,secD,protein translocase subunit SecD,CDS,1863.0,Post-translation
PP_0836,PP_RS04430,secF,protein translocase subunit SecF,CDS,909.0,Post-translation
PP_0837,PP_RS04435,,glycine zipper 2TM domain-containing protein,CDS,543.0,
PP_0838,PP_RS04440,suhB,inositol-phosphate phosphatase,CDS,819.0,Metabolic:S_Cell_Envelope_Biosynthesis
PP_0839,PP_RS04445,trmJ,tRNA (cytosine(32)/uridine(32)-2'-O)-methyltransferase TrmJ,CDS,756.0,tRNA Charging
PP_0840,PP_RS04450,cysE,serine O-acetyltransferase,CDS,786.0,Metabolic:S_Cysteine_Metabolism
PP_0841,PP_RS04455,iscR,Fe-S cluster assembly transcriptional regulator IscR,CDS,492.0,
PP_0842,PP_RS04460,,IscS subfamily cysteine desulfurase,CDS,1215.0,Metabolic:S_Cofactor_and_Prosthetic_Group_Biosynthesis__Thiamine_Metabolism
PP_0843,PP_RS04465,iscU,Fe-S cluster assembly scaffold IscU,CDS,387.0,Metabolic:S_Cofactor_and_Prosthetic_Group_Biosynthesis__FeS_clusters_metabolism
PP_0844,PP_RS04470,iscA,iron-sulfur cluster assembly protein IscA,CDS,324.0,Metabolic:S_Oxidative_Phosphorylation
PP_0845,PP_RS04475,hscB,co-chaperone HscB,CDS,522.0,
PP_0846,PP_RS04480,hscA,Fe-S protein assembly chaperone HscA,CDS,1863.0,
PP_0847,PP_RS04485,fdx,ISC system 2Fe-2S type ferredoxin,CDS,342.0,Metabolic:S_Cofactor_and_Prosthetic_Group_Biosynthesis__FeS_clusters_metabolism
PP_0848,PP_RS04490,iscX,Fe-S cluster assembly protein IscX,CDS,201.0,
PP_0849,PP_RS04495,ndk,nucleoside-diphosphate kinase,CDS,426.0,Metabolic:S_Pyrimidine_Metabolism
PP_0850,PP_RS04500,rlmN,23S rRNA (adenine(2503)-C(2))-methyltransferase RlmN,CDS,1146.0,Translation
PP_0851,PP_RS04505,pilW,type IV pilus biogenesis/stability protein PilW,CDS,762.0,
PP_0852,PP_RS04510,,RodZ domain-containing protein,CDS,1008.0,
PP_0853,PP_RS04515,ispG,flavodoxin-dependent (E)-4-hydroxy-3-methylbut-2-enyl-diphosphate synthase,CDS,1110.0,Metabolic:S_Cofactor_and_Prosthetic_Group_Biosynthesis__Terpenoid_backbone_biosynthesis
PP_0854,PP_RS04520,hisS,histidine--tRNA ligase,CDS,1290.0,tRNA Charging
PP_0855,PP_RS04525,,tetratricopeptide repeat protein,CDS,642.0,
PP_0856,PP_RS04530,bamB,outer membrane protein assembly factor BamB,CDS,1143.0,
PP_0857,PP_RS04535,der,ribosome biogenesis GTPase Der,CDS,1464.0,
PP_0858,PP_RS04540,,pyridoxal phosphate-dependent aminotransferase,CDS,1149.0,
PP_0859,PP_RS04545,,amidohydrolase,CDS,792.0,
PP_0860,PP_RS04550,,sulfite reductase flavoprotein subunit alpha,CDS,2553.0,Metabolic:S_Sulfur_Metabolism
PP_0861,PP_RS04555,,TonB-dependent siderophore receptor,CDS,2292.0,
PP_0862,PP_RS04560,,Fe2+-dependent dioxygenase,CDS,681.0,
PP_0863,PP_RS04565,,tetratricopeptide repeat protein,CDS,771.0,
PP_0864,PP_RS04570,,type III PLP-dependent enzyme,CDS,1164.0,Metabolic:S_Arginine_and_Proline_Metabolism
PP_0865,PP_RS04575,,RNA polymerase sigma factor,CDS,486.0,
PP_0866,PP_RS04580,,FecR family protein,CDS,963.0,
PP_0867,PP_RS04585,,TonB-dependent siderophore receptor,CDS,2430.0,Metabolic:S_Transport__Outer_Membrane
PP_0868,PP_RS04590,,betaine/proline/choline family ABC transporter ATP-binding protein,CDS,1158.0,Metabolic:S_Transport__ABC_system
PP_0869,PP_RS04595,,ABC transporter permease,CDS,654.0,Metabolic:S_Transport__ABC_system
PP_0870,PP_RS04600,,glycine betaine ABC transporter substrate-binding protein,CDS,912.0,Metabolic:S_Transport__ABC_system
PP_0871,PP_RS04605,,ABC transporter permease,CDS,714.0,Metabolic:S_Transport__ABC_system
PP_0872,PP_RS04610,,peptide chain release factor 3,CDS,1584.0,Translation
PP_0873,PP_RS04615,,polyamine ABC transporter substrate-binding protein,CDS,1080.0,Metabolic:S_Transport__ABC_system
PP_0874,PP_RS04620,,cupin domain-containing protein,CDS,342.0,
PP_0875,PP_RS04625,,FAD-binding oxidoreductase,CDS,1407.0,
PP_0876,PP_RS04630,,nuclear transport factor 2 family protein,CDS,825.0,
PP_0878,PP_RS04635,,peptide ABC transporter ATP-binding protein,CDS,969.0,Metabolic:S_Transport__ABC_system
PP_0879,PP_RS04640,,ABC transporter ATP-binding protein,CDS,969.0,Metabolic:S_Transport__ABC_system
PP_0880,PP_RS04645,,ABC transporter permease subunit,CDS,927.0,Metabolic:S_Transport__ABC_system
PP_0881,PP_RS04650,,ABC transporter permease subunit,CDS,1011.0,Metabolic:S_Transport__ABC_system
PP_0882,PP_RS04655,,ABC transporter substrate-binding protein,CDS,1611.0,Metabolic:S_Transport__ABC_system
PP_0883,PP_RS04660,,OprD family porin,CDS,1380.0,Metabolic:S_Transport__Outer_Membrane
PP_0884,PP_RS04665,,ABC transporter substrate-binding protein,CDS,1593.0,Metabolic:S_Transport__ABC_system
PP_0885,PP_RS04670,,ABC transporter substrate-binding protein,CDS,1626.0,Metabolic:S_Transport__ABC_system
PP_0886,PP_RS04675,,SIMPL domain-containing protein,CDS,717.0,
PP_0887,PP_RS04680,,ATP-binding protein,CDS,1257.0,
PP_0888,PP_RS04685,,response regulator transcription factor,CDS,561.0,
PP_0889,PP_RS04690,,serine hydrolase,CDS,1080.0,
PP_0890,PP_RS04695,,hypothetical protein,CDS,297.0,
PP_0891,PP_RS04700,,YceI family protein,CDS,582.0,
PP_0892,PP_RS04705,,phosphatidylserine/phosphatidylglycerophosphate/ cardiolipin synthase family protein,CDS,1158.0,
PP_0893,PP_RS04710,,DJ-1/PfpI family protein,CDS,579.0,
PP_0894,PP_RS04715,,nuclear transport factor 2 family protein,CDS,399.0,
PP_0895,PP_RS04720,,GNAT family N-acetyltransferase,CDS,591.0,
PP_0896,PP_RS04725,,carbon-nitrogen hydrolase family protein,CDS,873.0,
PP_0897,PP_RS04730,,fumarate hydratase,CDS,1524.0,Metabolic:S_TCA_Cycle
PP_0899,PP_RS04735,,iron-sulfur-binding ferredoxin reductase,CDS,921.0,
PP_0900,PP_RS04740,,phosphatase PAP2 family protein,CDS,729.0,
PP_0901,PP_RS04745,colR,two-component system response regulator ColR,CDS,684.0,
PP_0902,PP_RS04750,,HAMP domain-containing sensor histidine kinase,CDS,1311.0,
PP_0903,PP_RS04755,,class I SAM-dependent methyltransferase,CDS,681.0,
PP_0904,PP_RS04760,,lipopolysaccharide kinase InaA family protein,CDS,699.0,
PP_0905,PP_RS04765,,hypothetical protein,CDS,234.0,
PP_0906,PP_RS04770,,multidrug efflux RND transporter permease subunit,CDS,3045.0,
PP_0907,PP_RS04775,,efflux RND transporter periplasmic adaptor subunit,CDS,1158.0,
PP_0908,PP_RS04780,,DUF1513 domain-containing protein,CDS,1098.0,
PP_0909,PP_RS04785,,imelysin family protein,CDS,1065.0,
PP_0910,PP_RS04790,,di-heme oxidoredictase family protein,CDS,1428.0,
PP_0911,PP_RS04795,,hypothetical protein,CDS,387.0,
PP_0912,PP_RS04800,,hypothetical protein,CDS,483.0,
PP_0913,PP_RS04805,,imelysin family protein,CDS,1332.0,
PP_0914,PP_RS04810,,bifunctional diguanylate cyclase/phosphodiesterase,CDS,2052.0,Metabolic:S_Purine_Metabolism
PP_0915,PP_RS04815,,superoxide dismutase,CDS,597.0,Metabolic:Unassigned
PP_0916,PP_RS04820,,LysE/ArgO family amino acid transporter,CDS,600.0,
PP_0917,PP_RS04825,,LysR family transcriptional regulator ArgP,CDS,891.0,
PP_0918,PP_RS04830,,NAD(P)-dependent oxidoreductase,CDS,993.0,
PP_0919,PP_RS04835,,hypothetical protein,CDS,870.0,
PP_0920,PP_RS04840,,alkene reductase,CDS,1050.0,Metabolic:S_Xenobiotic_tolerance
PP_0921,PP_RS04845,,helix-turn-helix transcriptional regulator,CDS,303.0,
PP_0922,PP_RS04850,,ACP phosphodiesterase,CDS,585.0,Metabolic:S_Fatty_Acid__Biosynthesis
PP_0923,PP_RS04855,,lysophospholipid acyltransferase family protein,CDS,789.0,
PP_0924,PP_RS04860,olsB,L-ornithine N(alpha)-acyltransferase,CDS,756.0,
PP_0925,PP_RS04865,,hypothetical protein,CDS,888.0,
PP_0926,PP_RS04870,,AEC family transporter,CDS,942.0,Metabolic:S_Transport__solvent_extrusion
PP_0927,PP_RS04875,,amino acid permease,CDS,1362.0,Metabolic:S_Transport__Inner_Membrane
PP_0928,PP_RS04880,,calcium/sodium antiporter,CDS,1044.0,Metabolic:S_Transport__Inner_Membrane
PP_0929,PP_RS04885,,septal ring lytic transglycosylase RlpA family protein,CDS,375.0,
PP_0930,PP_RS04890,gatB,Asp-tRNA(Asn)/Glu-tRNA(Gln) amidotransferase subunit GatB,CDS,1446.0,tRNA Charging
PP_0931,PP_RS04895,gatA,Asp-tRNA(Asn)/Glu-tRNA(Gln) amidotransferase subunit GatA,CDS,1452.0,tRNA Charging
PP_0932,PP_RS04900,gatC,Asp-tRNA(Asn)/Glu-tRNA(Gln) amidotransferase subunit GatC,CDS,288.0,tRNA Charging
PP_0933,PP_RS04905,mreB,rod shape-determining protein MreB,CDS,1038.0,
PP_0934,PP_RS04910,mreC,rod shape-determining protein MreC,CDS,1053.0,
PP_0935,PP_RS04915,mreD,rod shape-determining protein MreD,CDS,489.0,
PP_0936,PP_RS04920,,nucleoside triphosphate pyrophosphatase,CDS,612.0,Metabolic:S_Pyrimidine_Metabolism
PP_0937,PP_RS04925,rng,ribonuclease G,CDS,1458.0,Transcription
PP_0938,PP_RS04930,,YhdP family protein,CDS,3822.0,
PP_0939,PP_RS04935,,carbon-nitrogen hydrolase family protein,CDS,852.0,
PP_0940,PP_RS04940,tldD,metalloprotease TldD,CDS,1440.0,
PP_0941,PP_RS04945,yjgA,ribosome biogenesis factor YjgA,CDS,522.0,
PP_0942,PP_RS04950,pmbA,metalloprotease PmbA,CDS,1347.0,
PP_0943,PP_RS04955,,hypothetical protein,CDS,402.0,
PP_0944,PP_RS04960,,lyase family protein,CDS,1377.0,Metabolic: No subsystem
PP_0945,PP_RS04965,,hypothetical protein,CDS,462.0,
PP_0946,PP_RS04970,,superoxide dismutase,CDS,612.0,Metabolic:Unassigned
PP_0947,PP_RS04975,,ZIP family metal transporter,CDS,894.0,
PP_0948,PP_RS04980,,HPr family phosphocarrier protein,CDS,273.0,
PP_0949,PP_RS04985,rapZ,RNase adapter RapZ,CDS,855.0,
PP_0950,PP_RS04990,ptsN,PTS IIA-like nitrogen regulatory protein PtsN,CDS,465.0,
PP_0951,PP_RS04995,raiA,"ribosome hibernation-promoting factor, HPF/YfiA family",CDS,309.0,
PP_0952,PP_RS05000,,RNA polymerase factor sigma-54,CDS,1494.0,
PP_0953,PP_RS05005,lptB,LPS export ABC transporter ATP-binding protein,CDS,726.0,Metabolic:S_Cell_Envelope_Biosynthesis__O_antigen_Biosynthesis
PP_0954,PP_RS05010,lptA,lipopolysaccharide transport periplasmic protein LptA,CDS,525.0,Metabolic:S_Cell_Envelope_Biosynthesis__O_antigen_Biosynthesis
PP_0955,PP_RS05015,lptC,LPS export ABC transporter periplasmic protein LptC,CDS,573.0,Metabolic:S_Cell_Envelope_Biosynthesis__O_antigen_Biosynthesis
PP_0956,PP_RS05020,,HAD family hydrolase,CDS,525.0,Metabolic:S_Cell_Envelope_Biosynthesis
PP_0957,PP_RS05025,,SIS domain-containing protein,CDS,975.0,Metabolic:S_Cell_Envelope_Biosynthesis
PP_0958,PP_RS05030,,ATP-binding cassette domain-containing protein,CDS,810.0,Metabolic:S_Transport__solvent_extrusion
PP_0959,PP_RS05035,mlaE,lipid asymmetry maintenance ABC transporter permease subunit MlaE,CDS,798.0,Metabolic:S_Transport__solvent_extrusion
PP_0960,PP_RS05040,mlaD,outer membrane lipid asymmetry maintenance protein MlaD,CDS,486.0,Metabolic:S_Transport__solvent_extrusion
PP_0961,PP_RS05045,,phospholipid-binding protein MlaC,CDS,648.0,
PP_0962,PP_RS05050,,lipid asymmetry maintenance protein MlaB,CDS,303.0,
PP_0963,PP_RS05055,,BolA family protein,CDS,240.0,
PP_0964,PP_RS05060,murA,UDP-N-acetylglucosamine 1-carboxyvinyltransferase,CDS,1266.0,Metabolic:S_Cell_Envelope_Biosynthesis
PP_0965,PP_RS05065,hisG,ATP phosphoribosyltransferase,CDS,636.0,Metabolic:S_Histidine_Metabolism
PP_0966,PP_RS05070,hisD,histidinol dehydrogenase,CDS,1326.0,Metabolic:S_Histidine_Metabolism
PP_0967,PP_RS05075,hisC,histidinol-phosphate transaminase,CDS,1047.0,Metabolic:S_Histidine_Metabolism
PP_0968,PP_RS05080,,alkaline phosphatase family protein,CDS,1185.0,
PP_0969,PP_RS05085,,FadR/GntR family transcriptional regulator,CDS,651.0,
PP_0970,PP_RS05090,,MFS transporter,CDS,1281.0,Metabolic:S_Transport__Inner_Membrane
PP_0971,PP_RS05095,,nuclear transport factor 2 family protein,CDS,477.0,
PP_0972,PP_RS05100,,GIY-YIG nuclease family protein,CDS,342.0,
PP_0973,PP_RS05105,yejK,nucleoid-associated protein YejK,CDS,1008.0,
PP_0975,PP_RS05110,,HU family DNA-binding protein,CDS,282.0,
PP_0976,PP_RS05115,rlmF,23S rRNA (adenine(1618)-N(6))-methyltransferase RlmF,CDS,954.0,Translation
PP_0977,PP_RS05120,,valine--tRNA ligase,CDS,2847.0,tRNA Charging
PP_0978,PP_RS05125,,hypothetical protein,CDS,366.0,
PP_0979,PP_RS05130,,DNA polymerase III subunit chi,CDS,429.0,
PP_0980,PP_RS05135,,leucyl aminopeptidase,CDS,1494.0,Metabolic:S_Alternate_Carbon_and_Nitrogen_source__Dipeptide_Metabolism
PP_0982,PP_RS05140,lptF,LPS export ABC transporter permease LptF,CDS,1116.0,Metabolic:S_Cell_Envelope_Biosynthesis__O_antigen_Biosynthesis
PP_0983,PP_RS05145,lptG,LPS export ABC transporter permease LptG,CDS,1062.0,Metabolic:S_Cell_Envelope_Biosynthesis__O_antigen_Biosynthesis
PP_0984,PP_RS05150,,RDD family protein,CDS,489.0,
PP_0985,PP_RS05155,,cold-shock protein,CDS,210.0,
PP_0986,PP_RS05160,gcvT,glycine cleavage system aminomethyltransferase GcvT,CDS,1122.0,Metabolic:S_Glycine__Serine_and_threonine_metabolism
PP_0987,PP_RS05165,,L-serine ammonia-lyase,CDS,1377.0,Metabolic:S_Glycine__Serine_and_threonine_metabolism
PP_0988,PP_RS05170,gcvP,aminomethyl-transferring glycine dehydrogenase,CDS,2856.0,Metabolic:S_Glycine__Serine_and_threonine_metabolism
PP_0989,PP_RS05175,gcvH,glycine cleavage system protein GcvH,CDS,384.0,Metabolic:S_Glycine__Serine_and_threonine_metabolism
PP_0990,PP_RS05180,,DoxX family protein,CDS,468.0,
PP_0991,PP_RS05185,,DNA-binding domain-containing protein,CDS,774.0,
PP_0992,PP_RS05190,,DUF692 domain-containing protein,CDS,834.0,
PP_0993,PP_RS05195,,DUF2282 domain-containing protein,CDS,288.0,
PP_0994,PP_RS05200,,sigma-70 family RNA polymerase sigma factor,CDS,585.0,
PP_0995,PP_RS05205,,DUF1109 domain-containing protein,CDS,642.0,
PP_0996,PP_RS05210,gltS,sodium/glutamate symporter,CDS,1206.0,Metabolic:S_Transport__Inner_Membrane
PP_0997,PP_RS05215,,sigma-54-dependent transcriptional regulator,CDS,1509.0,
PP_0998,PP_RS05220,,DUF5064 family protein,CDS,369.0,
PP_0999,PP_RS05225,arcC,carbamate kinase,CDS,930.0,Metabolic:S_Glutamate_Metabolism
PP_1000,PP_RS05230,,ornithine carbamoyltransferase,CDS,1011.0,Metabolic:S_Arginine_and_Proline_Metabolism
PP_1001,PP_RS05235,arcA,arginine deiminase,CDS,1254.0,Metabolic:S_Arginine_and_Proline_Metabolism
PP_1002,PP_RS05240,arcD,arginine-ornithine antiporter,CDS,1428.0,Metabolic:S_Transport__Inner_Membrane
PP_1003,PP_RS05245,arcD,arginine-ornithine antiporter,CDS,1428.0,Metabolic:S_Transport__Inner_Membrane
PP_1004,PP_RS05250,,YbaN family protein,CDS,414.0,
PP_1005,PP_RS05255,,biliverdin-producing heme oxygenase,CDS,594.0,Metabolic:S_Iron_uptake_and_metabolism
PP_1006,PP_RS05260,,TonB-dependent receptor,CDS,2589.0,Metabolic:S_Transport__Outer_Membrane
PP_1007,PP_RS05265,,FecR domain-containing protein,CDS,963.0,
PP_1008,PP_RS05270,,RNA polymerase sigma factor,CDS,513.0,
PP_1009,PP_RS05275,gap,type I glyceraldehyde-3-phosphate dehydrogenase,CDS,1002.0,Metabolic:S_Gluconeogenesis
PP_1010,PP_RS05280,edd,phosphogluconate dehydratase,CDS,1827.0,Metabolic:S_Glycolysis
PP_1011,PP_RS05285,,glucokinase,CDS,960.0,Metabolic:S_Glycolysis
PP_1012,PP_RS05290,gltR,two-component system response regulator GltR,CDS,726.0,
PP_1013,PP_RS05295,,ATP-binding protein,CDS,1455.0,
PP_1014,PP_RS05300,,AGE family epimerase/isomerase,CDS,1251.0,Metabolic:S_Alternate_Carbon
PP_1015,PP_RS05305,,ABC transporter substrate-binding protein,CDS,1287.0,Metabolic:S_Transport__ABC_system
PP_1016,PP_RS05310,,carbohydrate ABC transporter permease,CDS,909.0,Metabolic:S_Transport__ABC_system
PP_1017,PP_RS05315,,carbohydrate ABC transporter permease,CDS,846.0,Metabolic:S_Transport__ABC_system
PP_1018,PP_RS05320,ugpC,ABC transporter ATP-binding protein,CDS,1155.0,Metabolic:S_Transport__ABC_system
PP_1019,PP_RS05325,,carbohydrate porin,CDS,1344.0,Metabolic:S_Transport__Outer_Membrane
PP_1020,PP_RS05330,,D-hexose-6-phosphate mutarotase,CDS,855.0,
PP_1021,PP_RS05335,hexR,DNA-binding transcriptional regulator HexR,CDS,864.0,
PP_1022,PP_RS05340,zwf,glucose-6-phosphate dehydrogenase,CDS,1470.0,Metabolic:S_Glycolysis
PP_1023,PP_RS05345,pgl,6-phosphogluconolactonase,CDS,714.0,Metabolic:S_Glycolysis
PP_1024,PP_RS05350,,bifunctional 4-hydroxy-2-oxoglutarate aldolase/2-dehydro-3-deoxy-phosphogluconate aldolase,CDS,681.0,Metabolic:S_Glycolysis
PP_1025,PP_RS05355,leuA,2-isopropylmalate synthase,CDS,1674.0,Metabolic:S_Valine__Leucine__and_Isoleucine_Metabolism
PP_1026,PP_RS05360,,M23 family metallopeptidase,CDS,828.0,
PP_1027,PP_RS05365,xseA,exodeoxyribonuclease VII large subunit,CDS,1380.0,
PP_1028,PP_RS05370,,LysR family transcriptional regulator,CDS,879.0,
PP_1029,PP_RS05375,,sulfite exporter TauE/SafE family protein,CDS,756.0,
PP_1030,PP_RS05380,,hypothetical protein,CDS,558.0,
PP_1031,PP_RS05385,guaB,IMP dehydrogenase,CDS,1470.0,Metabolic:S_Purine_Metabolism
PP_1032,PP_RS05390,guaA,glutamine-hydrolyzing GMP synthase,CDS,1578.0,Metabolic:S_Purine_Metabolism
PP_1033,PP_RS05395,,LTA synthase family protein,CDS,1887.0,
PP_1034,PP_RS05400,,multicopper oxidase family protein,CDS,1380.0,
PP_1035,PP_RS05405,tadA,tRNA adenosine(34) deaminase TadA,CDS,480.0,
PP_1036,PP_RS05410,mltF,membrane-bound lytic murein transglycosylase MltF,CDS,1458.0,
PP_1037,PP_RS05415,purL,phosphoribosylformylglycinamidine synthase,CDS,3900.0,Metabolic:S_Purine_Metabolism
PP_1038,PP_RS05420,,YqfO family protein,CDS,312.0,
PP_1039,PP_RS05425,tatC,twin-arginine translocase subunit TatC,CDS,762.0,
PP_1040,PP_RS05430,tatB,Sec-independent protein translocase protein TatB,CDS,291.0,Post-translation
PP_1041,PP_RS05435,tatA,twin-arginine translocase TatA/TatE family subunit,CDS,234.0,Post-translation
PP_1042,PP_RS05440,gspK,type II secretion system minor pseudopilin GspK,CDS,966.0,
PP_1043,PP_RS05445,,PhoX family phosphatase,CDS,2076.0,
PP_1044,PP_RS05450,,lipoprotein UxpA,CDS,1641.0,
PP_1045,PP_RS05455,,pilus assembly protein PilZ,CDS,426.0,
PP_1046,PP_RS05460,gspD,type II secretion system secretin GspD,CDS,1737.0,
PP_1047,PP_RS05465,,GspE/PulE family protein,CDS,1449.0,
PP_1048,PP_RS05470,gspF,type II secretion system inner membrane protein GspF,CDS,1203.0,
PP_1049,PP_RS05475,gspG,type II secretion system major pseudopilin GspG,CDS,435.0,
PP_1050,PP_RS05480,gspH,type II secretion system minor pseudopilin GspH,CDS,432.0,
PP_1051,PP_RS05485,,type II secretion system protein GspI,CDS,369.0,
PP_1052,PP_RS05490,,prepilin-type N-terminal cleavage/methylation domain-containing protein,CDS,591.0,
PP_1053,PP_RS05495,,type II secretion system protein GspL,CDS,1077.0,
PP_1054,PP_RS05500,gspM,type II secretion system protein GspM,CDS,387.0,
PP_1055,PP_RS05505,,general secretion pathway protein GspN,CDS,663.0,
PP_1056,PP_RS05510,,siderophore-interacting protein,CDS,762.0,
PP_1057,PP_RS05515,,PadR family transcriptional regulator,CDS,546.0,
PP_1058,PP_RS05520,,transglycosylase domain-containing protein,CDS,3150.0,
PP_1059,PP_RS05525,,amino acid permease,CDS,1419.0,Metabolic:S_Transport__Inner_Membrane
PP_1060,PP_RS05530,,FMN-binding glutamate synthase family protein,CDS,1620.0,
PP_1061,PP_RS05535,,DEAD/DEAH box helicase,CDS,4305.0,
PP_1062,PP_RS05540,,NUDIX domain-containing protein,CDS,414.0,
PP_1063,PP_RS05545,metR,transcriptional regulator MetR,CDS,918.0,
PP_1064,PP_RS05550,,alpha/beta fold hydrolase,CDS,996.0,
PP_1065,PP_RS05555,,GlpM family protein,CDS,336.0,
PP_1066,PP_RS05560,,sigma-54 dependent transcriptional regulator,CDS,1329.0,
PP_1067,PP_RS05565,,ATP-binding protein,CDS,1905.0,
PP_1068,PP_RS05570,,amino acid ABC transporter ATP-binding protein,CDS,735.0,Metabolic:S_Transport__ABC_system
PP_1069,PP_RS05575,,amino acid ABC transporter permease,CDS,672.0,Metabolic:S_Transport__ABC_system
PP_1070,PP_RS05580,,amino acid ABC transporter permease,CDS,747.0,Metabolic:S_Transport__ABC_system
PP_1071,PP_RS05585,,glutamate/aspartate ABC transporter substrate-binding protein,CDS,918.0,Metabolic:S_Transport__ABC_system
PP_1072,PP_RS05590,,NEL-type E3 ubiquitin ligase domain-containing protein,CDS,4320.0,
PP_1073,PP_RS05595,glpD,glycerol-3-phosphate dehydrogenase,CDS,1539.0,Metabolic:S_Glycerophospholipid_Metabolism
PP_1074,PP_RS05600,glpR,DNA-binding transcriptional repressor GlpR,CDS,756.0,
PP_1075,PP_RS05605,glpK,glycerol kinase GlpK,CDS,1500.0,Metabolic:S_Glycerophospholipid_Metabolism
PP_1076,PP_RS05610,,MIP/aquaporin family protein,CDS,852.0,Metabolic:S_Transport__Inner_Membrane
PP_1077,PP_RS05615,ybaK,Cys-tRNA(Pro) deacylase,CDS,471.0,
PP_1078,PP_RS05620,,ABC transporter ATP-binding protein,CDS,1110.0,Metabolic:S_Iron_uptake_and_metabolism
PP_1079,PP_RS05625,argF,ornithine carbamoyltransferase,CDS,921.0,Metabolic:S_Arginine_and_Proline_Metabolism
PP_1080,PP_RS05630,,molybdopterin-dependent oxidoreductase,CDS,2109.0,
PP_1081,PP_RS05635,grxD,Grx4 family monothiol glutaredoxin,CDS,336.0,
